# els cl_ilc_tt cl_ilc_ee
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+01 7.140390050695278878e-01 8.132083377805373432e-05
1.200000000000000000e+01 5.267462605433755884e-01 7.206302961496919993e-05
1.300000000000000000e+01 3.982136769160544154e-01 6.448588608584107044e-05
1.400000000000000000e+01 3.073738733524616351e-01 5.818750997373301246e-05
1.500000000000000000e+01 2.415638958266973224e-01 5.288219754165049023e-05
1.600000000000000000e+01 1.928467437931746242e-01 4.836175398449297060e-05
1.700000000000000000e+01 1.560901136332517591e-01 4.447118726755514288e-05
1.800000000000000000e+01 1.278968578053978900e-01 4.109293931230922751e-05
1.900000000000000000e+01 1.059453804734203503e-01 3.813636791125438836e-05
2.000000000000000000e+01 8.863022341568392581e-02 3.553055787384814417e-05
2.100000000000000000e+01 7.480507449369493134e-02 3.321930044403622852e-05
2.200000000000000000e+01 6.365038971837734538e-02 3.115751888249588945e-05
2.300000000000000000e+01 5.455884666773330033e-02 2.930867932294352061e-05
2.400000000000000000e+01 4.708522462381467544e-02 2.764288585606121550e-05
2.500000000000000000e+01 4.088852734923285187e-02 2.613545906469527392e-05
2.600000000000000000e+01 3.571419177779512621e-02 2.476586155764703376e-05
2.700000000000000000e+01 3.136117982634914481e-02 2.351687615996888003e-05
2.800000000000000000e+01 2.767760010169750123e-02 2.237397050115887546e-05
2.900000000000000000e+01 2.453987364860254344e-02 2.132480079149735356e-05
3.000000000000000000e+01 2.185405774637098897e-02 2.035882070019153948e-05
3.100000000000000000e+01 1.954138062360279496e-02 1.946697042090633455e-05
3.200000000000000000e+01 1.754194336269256776e-02 1.864142750616393601e-05
3.300000000000000000e+01 1.580390447258680706e-02 1.787540570978805177e-05
3.400000000000000000e+01 1.428806829980833019e-02 1.716299145473860634e-05
3.500000000000000000e+01 1.295932990644109786e-02 1.649901002017223849e-05
3.600000000000000000e+01 1.179146820490128630e-02 1.587891537529502592e-05
3.700000000000000000e+01 1.076009236312277552e-02 1.529869895815518023e-05
3.800000000000000000e+01 9.846111866434678617e-03 1.475481373098921018e-05
3.900000000000000000e+01 9.034672946551237233e-03 1.424411062948910990e-05
4.000000000000000000e+01 8.312116667108803564e-03 1.376378512545067953e-05
4.100000000000000000e+01 7.665834490520633503e-03 1.331133208704509007e-05
4.200000000000000000e+01 7.086145841648011125e-03 1.288450748224474666e-05
4.300000000000000000e+01 6.565744815155081550e-03 1.248129575364135936e-05
4.400000000000000000e+01 6.096519649873014673e-03 1.209988191550025566e-05
4.500000000000000000e+01 5.673269842227851578e-03 1.173862760022268824e-05
4.600000000000000000e+01 5.289812988234637858e-03 1.139605042185283563e-05
4.700000000000000000e+01 4.941624321837830187e-03 1.107080613676622280e-05
4.800000000000000000e+01 4.625542678430635303e-03 1.076167317224466325e-05
4.900000000000000000e+01 4.337320046708822117e-03 1.046753916691195816e-05
5.000000000000000000e+01 4.074682515412444105e-03 1.018738922656020192e-05
5.100000000000000000e+01 3.834258376504936280e-03 9.920295647519468052e-06
5.200000000000000000e+01 3.613760502631418407e-03 9.665408899595482817e-06
5.300000000000000000e+01 3.411805935414618553e-03 9.421949693427272328e-06
5.400000000000000000e+01 3.225942443380805467e-03 9.189201984253681749e-06
5.500000000000000000e+01 3.054602683933626758e-03 8.966506786593883056e-06
5.600000000000000000e+01 2.896962068768398416e-03 8.753256693098933488e-06
5.700000000000000000e+01 2.751727631322152794e-03 8.548891006502533840e-06
5.800000000000000000e+01 2.616694425754242329e-03 8.352891406739442457e-06
5.900000000000000000e+01 2.491958470990147771e-03 8.164778086354536305e-06
6.000000000000000000e+01 2.376595568824069887e-03 7.984106296655644477e-06
6.100000000000000000e+01 2.268824628455440914e-03 7.810463254958026363e-06
6.200000000000000000e+01 2.168915809157268525e-03 7.643465369973460888e-06
6.300000000000000000e+01 2.075749573868814878e-03 7.482755748102660974e-06
6.400000000000000000e+01 1.989194306020544527e-03 7.328001948261521262e-06
6.500000000000000000e+01 1.908281260351224039e-03 7.178893957040317065e-06
6.600000000000000000e+01 1.832552222750865592e-03 7.035142359573726561e-06
6.700000000000000000e+01 1.761987927338034285e-03 6.896476684574755556e-06
6.800000000000000000e+01 1.695794292902623847e-03 6.762643904640045490e-06
6.900000000000000000e+01 1.633631912789831322e-03 6.633407075226807712e-06
7.000000000000000000e+01 1.575192279157989258e-03 6.508544097686471716e-06
7.100000000000000000e+01 1.520546953736325382e-03 6.387846593465080372e-06
7.200000000000000000e+01 1.469068576360023099e-03 6.271118878078891015e-06
7.300000000000000000e+01 1.420858124930636686e-03 6.158177024781156920e-06
7.400000000000000000e+01 1.375028059123569466e-03 6.048848008976971280e-06
7.500000000000000000e+01 1.332042544989387031e-03 5.942968925441971981e-06
7.600000000000000000e+01 1.291391638241516735e-03 5.840386271276373173e-06
7.700000000000000000e+01 1.253212903806832186e-03 5.740955288294216237e-06
7.800000000000000000e+01 1.216750765007870369e-03 5.644539359225167684e-06
7.900000000000000000e+01 1.182460606868753795e-03 5.551009452701459183e-06
8.000000000000000000e+01 1.149917916315497087e-03 5.460243612529693810e-06
8.100000000000000000e+01 1.119278437063946042e-03 5.372126487212494135e-06
8.200000000000000000e+01 1.090152105750254738e-03 5.286548896097019616e-06
8.300000000000000000e+01 1.062183764598601411e-03 5.203407428893348992e-06
8.400000000000000000e+01 1.035805651713675533e-03 5.122604075630472401e-06
8.500000000000000000e+01 1.010916386792669232e-03 5.044045884406662541e-06
8.600000000000000000e+01 9.869415977030917414e-04 4.967644644548600625e-06
8.700000000000000000e+01 9.642966306514320213e-04 4.893316593023170336e-06
8.800000000000000000e+01 9.426701393450481400e-04 4.820982142151571360e-06
8.900000000000000000e+01 9.220013888208020364e-04 4.750565626858458068e-06
9.000000000000000000e+01 9.024533411657488643e-04 4.681995069853927825e-06
9.100000000000000000e+01 8.835300188817630076e-04 4.615201963293298612e-06
9.200000000000000000e+01 8.656168164291711637e-04 4.550121065592371150e-06
9.300000000000000000e+01 8.484495207260332912e-04 4.486690212195067696e-06
9.400000000000000000e+01 8.319860486899964243e-04 4.424850139197231888e-06
9.500000000000000000e+01 8.161874684026065342e-04 4.364544318827861552e-06
9.600000000000000000e+01 8.012099146442407636e-04 4.305718805875141363e-06
9.700000000000000000e+01 7.868186661053699731e-04 4.248322094224666535e-06
9.800000000000000000e+01 7.729822939387834355e-04 4.192304982747468611e-06
9.900000000000000000e+01 7.596712992307209965e-04 4.137620449840690314e-06
1.000000000000000000e+02 7.468580870084093586e-04 4.084223535981825680e-06
1.010000000000000000e+02 7.345169259802239751e-04 4.032071233710566674e-06
1.020000000000000000e+02 7.227941067220872411e-04 3.981122384500589460e-06
1.030000000000000000e+02 7.113224914296675935e-04 3.931337582027051811e-06
1.040000000000000000e+02 7.004188945590394347e-04 3.882679081375853862e-06
1.050000000000000000e+02 6.898928742483837568e-04 3.835110713776497265e-06
1.060000000000000000e+02 6.797259194340655054e-04 3.788597806473843266e-06
1.070000000000000000e+02 6.699006702047100546e-04 3.743107107383871784e-06
1.080000000000000000e+02 6.605527009370280520e-04 3.698606714206421130e-06
1.090000000000000000e+02 6.513597069662198412e-04 3.655066007692708196e-06
1.100000000000000000e+02 6.426084959552319856e-04 3.612455588788845992e-06
1.110000000000000000e+02 6.341336904387102685e-04 3.570747219397071939e-06
1.120000000000000000e+02 6.259224850604376729e-04 3.529913766516557575e-06
1.130000000000000000e+02 6.179628607059550792e-04 3.489929149542395430e-06
1.140000000000000000e+02 6.102434481371185647e-04 3.450768290518435852e-06
1.150000000000000000e+02 6.027536457080484794e-04 3.412407067154013933e-06
1.160000000000000000e+02 5.956149129565950408e-04 3.374822268428716577e-06
1.170000000000000000e+02 5.885521697058717500e-04 3.337991552621625952e-06
1.180000000000000000e+02 5.818174733059066099e-04 3.301893407613289976e-06
1.190000000000000000e+02 5.752707535222610939e-04 3.266507113319393097e-06
1.200000000000000000e+02 5.687812311507535684e-04 3.231812706124696221e-06
1.210000000000000000e+02 5.625891649084232378e-04 3.197790945195407308e-06
1.220000000000000000e+02 5.565624289882712588e-04 3.164423280555808934e-06
1.230000000000000000e+02 5.508111360863329666e-04 3.131691822823561874e-06
1.240000000000000000e+02 5.450931492430396595e-04 3.099579314504596656e-06
1.250000000000000000e+02 5.395212520140885799e-04 3.068069102755482498e-06
1.260000000000000000e+02 5.342009309541134688e-04 3.037145113527234985e-06
1.270000000000000000e+02 5.289022741986917865e-04 3.006791827010133747e-06
1.280000000000000000e+02 5.238410113486402769e-04 2.976994254304484367e-06
1.290000000000000000e+02 5.187948504924706598e-04 2.947737915247042411e-06
1.300000000000000000e+02 5.139730082518147386e-04 2.919008817327542592e-06
1.310000000000000000e+02 5.092633303598564747e-04 2.890793435633622076e-06
1.320000000000000000e+02 5.046615870848416771e-04 2.863078693766761179e-06
1.330000000000000000e+02 5.001637561474783734e-04 2.835851945675194831e-06
1.340000000000000000e+02 4.957661478180997979e-04 2.809100958353207877e-06
1.350000000000000000e+02 4.914650610952401525e-04 2.782813895359469734e-06
1.360000000000000000e+02 4.873523091541999940e-04 2.756979301109802377e-06
1.370000000000000000e+02 4.832326138681060303e-04 2.731586085902644528e-06
1.380000000000000000e+02 4.791996238344158510e-04 2.706623511638030430e-06
1.390000000000000000e+02 4.753413878813387032e-04 2.682081178193067003e-06
1.400000000000000000e+02 4.715612790166409619e-04 2.657949010419444902e-06
1.410000000000000000e+02 4.677681158053292724e-04 2.634217245730162198e-06
1.420000000000000000e+02 4.641375941082859962e-04 2.610876422244972180e-06
1.430000000000000000e+02 4.605775359865594350e-04 2.587917367465595197e-06
1.440000000000000000e+02 4.570008218239575686e-04 2.565331187453481085e-06
1.450000000000000000e+02 4.535759731279080144e-04 2.543109256484574381e-06
1.460000000000000000e+02 4.502148622653991063e-04 2.521243207156888107e-06
1.470000000000000000e+02 4.469154474761800108e-04 2.499724920928088653e-06
1.480000000000000000e+02 4.436757363069593427e-04 2.478546519061713915e-06
1.490000000000000000e+02 4.404938628830228184e-04 2.457700353961666682e-06
1.500000000000000000e+02 4.374459848536969234e-04 2.437179000875836503e-06
1.510000000000000000e+02 4.343734844726868994e-04 2.416975249950881945e-06
1.520000000000000000e+02 4.313536614769089344e-04 2.397082098621003008e-06
1.530000000000000000e+02 4.283849174894560153e-04 2.377492744314601209e-06
1.540000000000000000e+02 4.255396035417013771e-04 2.358200577463564624e-06
1.550000000000000000e+02 4.226676170112281315e-04 2.339199174800761817e-06
1.560000000000000000e+02 4.199141959385969632e-04 2.320482292932040102e-06
1.570000000000000000e+02 4.171333441067643288e-04 2.302043862169884547e-06
1.580000000000000000e+02 4.144666260615293861e-04 2.283877980616421893e-06
1.590000000000000000e+02 4.118408859612849270e-04 2.265978908484208212e-06
1.600000000000000000e+02 4.091868515885835811e-04 2.248341062643797783e-06
1.610000000000000000e+02 4.066406449659891952e-04 2.230959011387664083e-06
1.620000000000000000e+02 4.041321113956593790e-04 2.213827469400784117e-06
1.630000000000000000e+02 4.016602527671511496e-04 2.196941292928167645e-06
1.640000000000000000e+02 3.991592189455659464e-04 2.180295475130676331e-06
1.650000000000000000e+02 3.967585374619101400e-04 2.163885141620861531e-06
1.660000000000000000e+02 3.943915962184953768e-04 2.147705546170306346e-06
1.670000000000000000e+02 3.920575757893624957e-04 2.131752066581418282e-06
1.680000000000000000e+02 3.897555875835794327e-04 2.116020200716155930e-06
1.690000000000000000e+02 3.874847539561839492e-04 2.100505562674755871e-06
1.700000000000000000e+02 3.852443968848194697e-04 2.085203879118200642e-06
1.710000000000000000e+02 3.830337099105530487e-04 2.070110985728006844e-06
1.720000000000000000e+02 3.808519199801969793e-04 2.055222823797399490e-06
1.730000000000000000e+02 3.787562811318828052e-04 2.040535436948536288e-06
1.740000000000000000e+02 3.766295178157105187e-04 2.026044967970106749e-06
1.750000000000000000e+02 3.745296003819294120e-04 2.011747655770379339e-06
1.760000000000000000e+02 3.724558484166585397e-04 1.997639832440846145e-06
1.770000000000000000e+02 3.704630083027433875e-04 1.983717920425786049e-06
1.780000000000000000e+02 3.684392416607628804e-04 1.969978429793461694e-06
1.790000000000000000e+02 3.664398645750755737e-04 1.956417955604580816e-06
1.800000000000000000e+02 3.645177352691993870e-04 1.943033175374212411e-06
1.810000000000000000e+02 3.625649034164924464e-04 1.929820846623188560e-06
1.820000000000000000e+02 3.606870299347782324e-04 1.916777804515399607e-06
1.830000000000000000e+02 3.587787383642892245e-04 1.903900959577719543e-06
1.840000000000000000e+02 3.568921838880075611e-04 1.891187295498762610e-06
1.850000000000000000e+02 3.550773381802183417e-04 1.878633867003857421e-06
1.860000000000000000e+02 3.532822118459592962e-04 1.866237797802905512e-06
1.870000000000000000e+02 3.514571408905279291e-04 1.853996278608251821e-06
1.880000000000000000e+02 3.497007800585358209e-04 1.841906565219877988e-06
1.890000000000000000e+02 3.479147327915952021e-04 1.829965976675431148e-06
1.900000000000000000e+02 3.461954635281118777e-04 1.818171893462145007e-06
