# els cl_ilc_tt cl_ilc_ee
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+01 3.549280608206149878e+00 1.375758084671316403e-05
1.200000000000000000e+01 2.450456861093273542e+00 1.154136078429561385e-05
1.300000000000000000e+01 1.742851277105892827e+00 9.808656344178210470e-06
1.400000000000000000e+01 1.271339781225327092e+00 8.428590271430327506e-06
1.500000000000000000e+01 9.478527691636932095e-01 7.311868488848017485e-06
1.600000000000000000e+01 7.202414788425826053e-01 6.395837734274810213e-06
1.700000000000000000e+01 5.565083733121353182e-01 5.635462861744001912e-06
1.800000000000000000e+01 4.364152170585618440e-01 4.997684574639374956e-06
1.900000000000000000e+01 3.467897585477682232e-01 4.457782124989009930e-06
2.000000000000000000e+01 2.788637734279934000e-01 3.996965112994729751e-06
2.100000000000000000e+01 2.266588955497320368e-01 3.600740974060035446e-06
2.200000000000000000e+01 1.860318544973711130e-01 3.257784781558981313e-06
2.300000000000000000e+01 1.540484565859050470e-01 2.959141908888996388e-06
2.400000000000000000e+01 1.286083533876271612e-01 2.697655869411009530e-06
2.500000000000000000e+01 1.081759187935424221e-01 2.467551361838774750e-06
2.600000000000000000e+01 9.162282439720724481e-02 2.264126123258935064e-06
2.700000000000000000e+01 7.810103566311409062e-02 2.083520252677438130e-06
2.800000000000000000e+01 6.697417754556408975e-02 1.922541481177609926e-06
2.900000000000000000e+01 5.775204400139353350e-02 1.778531375209221151e-06
3.000000000000000000e+01 5.006057421803105506e-02 1.649261850962232737e-06
3.100000000000000000e+01 4.360502081187501294e-02 1.532854385494932564e-06
3.200000000000000000e+01 3.815757176995019512e-02 1.427716399594570955e-06
3.300000000000000000e+01 3.353480226604330094e-02 1.332490757830875776e-06
3.400000000000000000e+01 2.959364581527434285e-02 1.246015378900439115e-06
3.500000000000000000e+01 2.621643400161074999e-02 1.167290704278738828e-06
3.600000000000000000e+01 2.331088897593258311e-02 1.095453322996399173e-06
3.700000000000000000e+01 2.079945081070188120e-02 1.029754454778289265e-06
3.800000000000000000e+01 1.861998169584491714e-02 9.695422940623451140e-07
3.900000000000000000e+01 1.672258104362546807e-02 9.142474423381448792e-07
4.000000000000000000e+01 1.506491496732232337e-02 8.633708261252608335e-07
4.100000000000000000e+01 1.361080206959299106e-02 8.164736272268070274e-07
4.200000000000000000e+01 1.233108505967215815e-02 7.731688510608548126e-07
4.300000000000000000e+01 1.120229079938197397e-02 7.331142354553146081e-07
4.400000000000000000e+01 1.020284747979868616e-02 6.960062618273811867e-07
4.500000000000000000e+01 9.316282277500097936e-03 6.615750772447610305e-07
4.600000000000000000e+01 8.526959225809038756e-03 6.295801725225710926e-07
4.700000000000000000e+01 7.822380282701270685e-03 5.998066905245987180e-07
4.800000000000000000e+01 7.192632463194510543e-03 5.720622619290926502e-07
4.900000000000000000e+01 6.627752852275706381e-03 5.461742841922555700e-07
5.000000000000000000e+01 6.120587166730835985e-03 5.219875742940491471e-07
5.100000000000000000e+01 5.663612171389250174e-03 4.993623378478733098e-07
5.200000000000000000e+01 5.250978325601735573e-03 4.781724068903980619e-07
5.300000000000000000e+01 4.878233620981725291e-03 4.583037066016494260e-07
5.400000000000000000e+01 4.540300431969784313e-03 4.396529176981421736e-07
5.500000000000000000e+01 4.233336912536989419e-03 4.221263065768630296e-07
5.600000000000000000e+01 3.954539515086298238e-03 4.056386996880140160e-07
5.700000000000000000e+01 3.700906663154634405e-03 3.901125822573005379e-07
5.800000000000000000e+01 3.468769250700327704e-03 3.754773045049858880e-07
5.900000000000000000e+01 3.256907539060976704e-03 3.616683810318046433e-07
6.000000000000000000e+01 3.063266226638280444e-03 3.486268711520424645e-07
6.100000000000000000e+01 2.885097263245532239e-03 3.362988297244367877e-07
6.200000000000000000e+01 2.721780452458253622e-03 3.246348195217959861e-07
6.300000000000000000e+01 2.571445308894932096e-03 3.135894774376597530e-07
6.400000000000000000e+01 2.433277106681451182e-03 3.031211278932345073e-07
6.500000000000000000e+01 2.305727181507019521e-03 2.931914377113107588e-07
6.600000000000000000e+01 2.187814688707413312e-03 2.837651074931111800e-07
6.700000000000000000e+01 2.079045136708201034e-03 2.748095951901949720e-07
6.800000000000000000e+01 1.978226990671102907e-03 2.662948681249509264e-07
6.900000000000000000e+01 1.884657064372472933e-03 2.581931801945145046e-07
7.000000000000000000e+01 1.797703457630070228e-03 2.504788714066718845e-07
7.100000000000000000e+01 1.717136201504436801e-03 2.431281872526493562e-07
7.200000000000000000e+01 1.642084459113048395e-03 2.361191157293306172e-07
7.300000000000000000e+01 1.572406024950252085e-03 2.294312400896168884e-07
7.400000000000000000e+01 1.507036352891770285e-03 2.230456056303498168e-07
7.500000000000000000e+01 1.446227987096046844e-03 2.169445990276613590e-07
7.600000000000000000e+01 1.389320672833581696e-03 2.111118389040523856e-07
7.700000000000000000e+01 1.336289685749255827e-03 2.055320764635928861e-07
7.800000000000000000e+01 1.286276444168851915e-03 2.001911051645592907e-07
7.900000000000000000e+01 1.239587340375198190e-03 1.950756785150507078e-07
8.000000000000000000e+01 1.195705427535479924e-03 1.901734351791460734e-07
8.100000000000000000e+01 1.154674151912311571e-03 1.854728306706196496e-07
8.200000000000000000e+01 1.116031460577104634e-03 1.809630749900249807e-07
8.300000000000000000e+01 1.079359444084642978e-03 1.766340756302901592e-07
8.400000000000000000e+01 1.044987295062190652e-03 1.724763854372109407e-07
8.500000000000000000e+01 1.012748628921324688e-03 1.684811548652858069e-07
8.600000000000000000e+01 9.820433294274422912e-04 1.646400882172218893e-07
8.700000000000000000e+01 9.532008716935617011e-04 1.609454034978628540e-07
8.800000000000000000e+01 9.258783300260171358e-04 1.573897955509288696e-07
8.900000000000000000e+01 8.999714126707777104e-04 1.539664021804219017e-07
9.000000000000000000e+01 8.755861601786019653e-04 1.506687729883322348e-07
9.100000000000000000e+01 8.522251139749242995e-04 1.474908406867959219e-07
9.200000000000000000e+01 8.302060546078090511e-04 1.444268946665252626e-07
9.300000000000000000e+01 8.092522882576303270e-04 1.414715566244821494e-07
9.400000000000000000e+01 7.892945802868316704e-04 1.386197580726595736e-07
9.500000000000000000e+01 7.702692154220486557e-04 1.358667195667743566e-07
9.600000000000000000e+01 7.522913127687942464e-04 1.332079315088363275e-07
9.700000000000000000e+01 7.351235990872770354e-04 1.306391363911914197e-07
9.800000000000000000e+01 7.187158048190205430e-04 1.281563123618486566e-07
9.900000000000000000e+01 7.030212235817220011e-04 1.257556580019348960e-07
1.000000000000000000e+02 6.879965265063996398e-04 1.234335782159673254e-07
1.010000000000000000e+02 6.736015774768248400e-04 1.211866711446430348e-07
1.020000000000000000e+02 6.599500552906424752e-04 1.190117160178040463e-07
1.030000000000000000e+02 6.467014921017189260e-04 1.169056618725851942e-07
1.040000000000000000e+02 6.341225907802275656e-04 1.148656170682612120e-07
1.050000000000000000e+02 6.220322587739950809e-04 1.128888395353067811e-07
1.060000000000000000e+02 6.104027129134451980e-04 1.109727277015116673e-07
1.070000000000000000e+02 5.992080865840025000e-04 1.091148120429224426e-07
1.080000000000000000e+02 5.885557756568662565e-04 1.073127472117678965e-07
1.090000000000000000e+02 5.781569676668761246e-04 1.055643046975657607e-07
1.100000000000000000e+02 5.682509892239415465e-04 1.038673659812467473e-07
1.110000000000000000e+02 5.586868279287188254e-04 1.022199161454537793e-07
1.120000000000000000e+02 5.494461771564044389e-04 1.006200379071878364e-07
1.130000000000000000e+02 5.405119610442729464e-04 9.906590604176213721e-08
1.140000000000000000e+02 5.318681731627031544e-04 9.755578216944807440e-08
1.150000000000000000e+02 5.234999345308797344e-04 9.608800987860010440e-08
1.160000000000000000e+02 5.155032755331757574e-04 9.466101016102582010e-08
1.170000000000000000e+02 5.076424499357536828e-04 9.327327713735522316e-08
1.180000000000000000e+02 5.001230432315926719e-04 9.192337405185441942e-08
1.190000000000000000e+02 4.928235047486148471e-04 9.060992951777264160e-08
1.200000000000000000e+02 4.856323061136200224e-04 8.933163399571240320e-08
1.210000000000000000e+02 4.787432437551132690e-04 8.808723648892362562e-08
1.220000000000000000e+02 4.720437715199812096e-04 8.687554144057701994e-08
1.230000000000000000e+02 4.656195023412724359e-04 8.569540581925859211e-08
1.240000000000000000e+02 4.592709879438213274e-04 8.454573637992004853e-08
1.250000000000000000e+02 4.530869578248477073e-04 8.342548708849049879e-08
1.260000000000000000e+02 4.471485780741750850e-04 8.233365669920985328e-08
1.270000000000000000e+02 4.412697288602067738e-04 8.126928647456367174e-08
1.280000000000000000e+02 4.356192864124865463e-04 8.023145803844139188e-08
1.290000000000000000e+02 4.300194007526511879e-04 7.921929135377923162e-08
1.300000000000000000e+02 4.246322880494848005e-04 7.823194281663537997e-08
1.310000000000000000e+02 4.193676447499209044e-04 7.726860345916213907e-08
1.320000000000000000e+02 4.142203143555930173e-04 7.632849725455815972e-08
1.330000000000000000e+02 4.091854317326360847e-04 7.541087951741465235e-08
1.340000000000000000e+02 4.042585088425520827e-04 7.451503539354988769e-08
1.350000000000000000e+02 3.994351625169181223e-04 7.364027843362757764e-08
1.360000000000000000e+02 3.947830058187059275e-04 7.278594924540016304e-08
1.370000000000000000e+02 3.901532588871957689e-04 7.195141421966307898e-08
1.380000000000000000e+02 3.856155407168589968e-04 7.113606432543130547e-08
1.390000000000000000e+02 3.812336794404057121e-04 7.033931397008759353e-08
1.400000000000000000e+02 3.769342754497040002e-04 6.956059992057405292e-08
1.410000000000000000e+02 3.726496911777803364e-04 6.879938028194789483e-08
1.420000000000000000e+02 3.685075660690905418e-04 6.805513352986032425e-08
1.430000000000000000e+02 3.644392625817361245e-04 6.732735759377176621e-08
1.440000000000000000e+02 3.603814812051852408e-04 6.661556898788560641e-08
1.450000000000000000e+02 3.564544406493928147e-04 6.591930198702264115e-08
1.460000000000000000e+02 3.525938368777487984e-04 6.523810784480081289e-08
1.470000000000000000e+02 3.487974641006060645e-04 6.457155405168448224e-08
1.480000000000000000e+02 3.450632009038683565e-04 6.391922363059296720e-08
1.490000000000000000e+02 3.413890612731499048e-04 6.328071446793785012e-08
1.500000000000000000e+02 3.378267910702176875e-04 6.265563867807262416e-08
1.510000000000000000e+02 3.342662673700824553e-04 6.204362199926498866e-08
1.520000000000000000e+02 3.307604721970720091e-04 6.144430321943097041e-08
1.530000000000000000e+02 3.273077636249605623e-04 6.085733362996796022e-08
1.540000000000000000e+02 3.239560229783660901e-04 6.028237650613601187e-08
1.550000000000000000e+02 3.206039498730957945e-04 5.971910661252795263e-08
1.560000000000000000e+02 3.173479364007778230e-04 5.916720973225246562e-08
1.570000000000000000e+02 3.140908706702016766e-04 5.862638221854048357e-08
1.580000000000000000e+02 3.109253932576929932e-04 5.809633056758702272e-08
1.590000000000000000e+02 3.078028605359633746e-04 5.757677101145139886e-08
1.600000000000000000e+02 3.046785109962781273e-04 5.706742912998306072e-08
1.610000000000000000e+02 3.016395192075813103e-04 5.656803948074793213e-08
1.620000000000000000e+02 2.986402711935352665e-04 5.607834524600953116e-08
1.630000000000000000e+02 2.956798094599605124e-04 5.559809789587416445e-08
1.640000000000000000e+02 2.927168784017789341e-04 5.512705686676272610e-08
1.650000000000000000e+02 2.898320050792967508e-04 5.466498925441512700e-08
1.660000000000000000e+02 2.869831825232976234e-04 5.421166952068074766e-08
1.670000000000000000e+02 2.841696323088412145e-04 5.376687921339345256e-08
1.680000000000000000e+02 2.813905481149460235e-04 5.333040669866175812e-08
1.690000000000000000e+02 2.786451450502965346e-04 5.290204690496165718e-08
1.700000000000000000e+02 2.759327711242705035e-04 5.248160107842425429e-08
1.710000000000000000e+02 2.732527092877906974e-04 5.206887654877342427e-08
1.720000000000000000e+02 2.706042747928539714e-04 5.166368650537808970e-08
1.730000000000000000e+02 2.680203979333766243e-04 5.126584978293041242e-08
1.740000000000000000e+02 2.654326823897621714e-04 5.087519065626441679e-08
1.750000000000000000e+02 2.628747691166333006e-04 5.049153864389142910e-08
1.760000000000000000e+02 2.603460693459883741e-04 5.011472831981085673e-08
1.770000000000000000e+02 2.578770636336837692e-04 4.974459913321106602e-08
1.780000000000000000e+02 2.554046377107833596e-04 4.938099523567970356e-08
1.790000000000000000e+02 2.529598676198383618e-04 4.902376531556752167e-08
1.800000000000000000e+02 2.505714561502681622e-04 4.867276243916384434e-08
1.810000000000000000e+02 2.481799965895326423e-04 4.832784389837812637e-08
1.820000000000000000e+02 2.458428275530672195e-04 4.798887106459732231e-08
1.830000000000000000e+02 2.435029358740127407e-04 4.765570924846854210e-08
1.840000000000000000e+02 2.411884227915158632e-04 4.732822756529756153e-08
1.850000000000000000e+02 2.389252906508349092e-04 4.700629880583243740e-08
1.860000000000000000e+02 2.366857137826474506e-04 4.668979931217402114e-08
1.870000000000000000e+02 2.344440071775452271e-04 4.637860885858403684e-08
1.880000000000000000e+02 2.322510120977548957e-04 4.607261053696874135e-08
1.890000000000000000e+02 2.300561887970127670e-04 4.577169064682869144e-08
1.900000000000000000e+02 2.279083842362039170e-04 4.547573858948259283e-08
