# els cl_kk n0_tt n0_ee n0_te n0_tb n0_eb n0_mv n0_mvpol
0.000000000000000000e+00 0.000000000000000000e+00 nan nan nan nan nan nan nan
1.000000000000000000e+00 0.000000000000000000e+00 7.829372175395346934e-08 1.845817388232885762e-08 5.280862657376837894e-08 2.755057404365119140e-05 2.510983216794212683e-06 1.158482707604741734e-08 1.832347845735237090e-08
2.000000000000000000e+00 5.269503946800194147e-08 4.904945870791240970e-08 1.267010967246466671e-08 3.875466384931485440e-08 6.965118288910461506e-08 5.619872661539662513e-09 3.150458871038398316e-09 3.893082107280758769e-09
3.000000000000000000e+00 6.397068978703747887e-08 4.487270321567168999e-08 1.174977937482591792e-08 3.634058313179991185e-08 5.577477667839092040e-08 4.498707366790833015e-09 2.665770860470955792e-09 3.253153347278221661e-09
4.000000000000000000e+00 7.364267632810360767e-08 4.340270273630586149e-08 1.141877833976419995e-08 3.546107217378835589e-08 5.167026219731276778e-08 4.166628294924551272e-09 2.511485515798201949e-09 3.052715019833890062e-09
5.000000000000000000e+00 8.203135823070379969e-08 4.271025238305441537e-08 1.126096291076043902e-08 3.504127886845298627e-08 4.984153338969484898e-08 4.018475703989269001e-09 2.441001769710642682e-09 2.961620973216389587e-09
6.000000000000000000e+00 8.933791348121388742e-08 4.233025097582951761e-08 1.117353396923744089e-08 3.481025242486642539e-08 4.885530292347224448e-08 3.938502979152869068e-09 2.402573706214627223e-09 2.912049313788565495e-09
7.000000000000000000e+00 9.576289852191443412e-08 4.210149631689931842e-08 1.112040447660151675e-08 3.467195002147127108e-08 4.825886838116124605e-08 3.890126832633339230e-09 2.379245685220277100e-09 2.881962200601717773e-09
8.000000000000000000e+00 1.014460829264389247e-07 4.195516759016473117e-08 1.108610575841258955e-08 3.458503317992806439e-08 4.786908405945701154e-08 3.858529683760239953e-09 2.364018162269924163e-09 2.862302550748671987e-09
9.000000000000000000e+00 1.064977726421917786e-07 4.185792849303676916e-08 1.106307599619069492e-08 3.452922616025370720e-08 4.759948223852867644e-08 3.836712564195112556e-09 2.353547467720237401e-09 2.848754698847292342e-09
1.000000000000000000e+01 1.109971973743567306e-07 4.179161037542635939e-08 1.104725027284446944e-08 3.449361940224797132e-08 4.740486585888741815e-08 3.821001340816513821e-09 2.346064379138638768e-09 2.839039801161976267e-09
1.100000000000000000e+01 1.150375841042654021e-07 4.174602281869415219e-08 1.103628368921597171e-08 3.447188595517351027e-08 4.725961767087055008e-08 3.809309725298825062e-09 2.340559874597935207e-09 2.831858694673891755e-09
1.200000000000000000e+01 1.186233615575389917e-07 4.171478502668867899e-08 1.102874214705156968e-08 3.446019287388420322e-08 4.714854224167444172e-08 3.800374571314581969e-09 2.336421311621105180e-09 2.826422639005171405e-09
1.300000000000000000e+01 1.218661366493972952e-07 4.169392346106201760e-08 1.102371008991051763e-08 3.445605643720645730e-08 4.706177305086725199e-08 3.793396745068174186e-09 2.333259481829095297e-09 2.822231521940827346e-09
1.400000000000000000e+01 1.247513741966172151e-07 4.168068361058824887e-08 1.102057912187732881e-08 3.445785325626975140e-08 4.699269652961573295e-08 3.787845191217294066e-09 2.330815068857370113e-09 2.818952695346501596e-09
1.500000000000000000e+01 1.273586717373385477e-07 4.167327896722304592e-08 1.101893289751591646e-08 3.446447034747988870e-08 4.693671482609131512e-08 3.783355369935523241e-09 2.328910143010744054e-09 2.816357727638937021e-09
1.600000000000000000e+01 1.296973993681412627e-07 4.167039150444381870e-08 1.101847784621765288e-08 3.447511500018984417e-08 4.689062893390252875e-08 3.779672364854576816e-09 2.327419832863389171e-09 2.814286625293937770e-09
1.700000000000000000e+01 1.317739907900469953e-07 4.167115805187025997e-08 1.101900300111541855e-08 3.448922983768039545e-08 4.685218054014010511e-08 3.776614754240931131e-09 2.326255427924868851e-09 2.812625332657853023e-09
1.800000000000000000e+01 1.336464483585028981e-07 4.167481014120533548e-08 1.102035276706444275e-08 3.450639934124995659e-08 4.681974697617335407e-08 3.774050650177644492e-09 2.325351859753489065e-09 2.811290753181303910e-09
1.900000000000000000e+01 1.353205218184977116e-07 4.168093408976676499e-08 1.102241104107493017e-08 3.452630987328527447e-08 4.679211422704166553e-08 3.771881886542868474e-09 2.324661113067794823e-09 2.810220992329314865e-09
2.000000000000000000e+01 1.368006113098819748e-07 4.168904774350596858e-08 1.102508900061820306e-08 3.454874090430601672e-08 4.676839061917708507e-08 3.770033818248429870e-09 2.324146267493533776e-09 2.809368931262001521e-09
2.100000000000000000e+01 1.381107306976346640e-07 4.169894952862899611e-08 1.102831858725242069e-08 3.457351135517364879e-08 4.674784239333782664e-08 3.768448655400941944e-09 2.323779131197240193e-09 2.808698121010120632e-09
2.200000000000000000e+01 1.392775460825436840e-07 4.171031234713752866e-08 1.103204611741876993e-08 3.460049325508776431e-08 4.672995785874679592e-08 3.767081164446028771e-09 2.323537292987048605e-09 2.808179992150963110e-09
2.300000000000000000e+01 1.403022785155850215e-07 4.172302409192507463e-08 1.103622946912195230e-08 3.462957161217845657e-08 4.671429190306324438e-08 3.765895548839871147e-09 2.323403312456362171e-09 2.807791947663508502e-09
2.400000000000000000e+01 1.411959644107980532e-07 4.173687300204084085e-08 1.104083478218187747e-08 3.466066665227981789e-08 4.670048954966315981e-08 3.764863251470089752e-09 2.323362925086613906e-09 2.807515933562260034e-09
2.500000000000000000e+01 1.419722517095837260e-07 4.175180054314988974e-08 1.104583485953226352e-08 3.469371471167465467e-08 4.668826488443657128e-08 3.763961280314572043e-09 2.323404984583403138e-09 2.807337408795579727e-09
2.600000000000000000e+01 1.426288306932949237e-07 4.176765538761788695e-08 1.105120742200634852e-08 3.472867210819386175e-08 4.667738571617997757e-08 3.763170944463155971e-09 2.323520124090953627e-09 2.807244532504864643e-09
2.700000000000000000e+01 1.431890761673854203e-07 4.178441096371512103e-08 1.105693433893955041e-08 3.476549303582502915e-08 4.666766194781020013e-08 3.762476905723727392e-09 2.323700909251879935e-09 2.807227588973556800e-09
2.800000000000000000e+01 1.436580096236800813e-07 4.180195347661578550e-08 1.106300049817741310e-08 3.480415354343206383e-08 4.665893685591643084e-08 3.761866473876438992e-09 2.323940950949593452e-09 2.807278524186731111e-09
2.900000000000000000e+01 1.440362651115969765e-07 4.182027593203950450e-08 1.106939339853501455e-08 3.484463140472305932e-08 4.665108041985962494e-08 3.761329078750766934e-09 2.324235180885189407e-09 2.807390626977830156e-09
3.000000000000000000e+01 1.443384021992152481e-07 4.183928823472214783e-08 1.107610249789659779e-08 3.488690450636484146e-08 4.664398406480992410e-08 3.760855866951911184e-09 2.324579062872327396e-09 2.807558263482426527e-09
3.100000000000000000e+01 1.445493689496947345e-07 4.185898176493168650e-08 1.108311892031229731e-08 3.493096867058435746e-08 4.663755676248117998e-08 3.760439384782645001e-09 2.324969037845083197e-09 2.807776682486342063e-09
3.200000000000000000e+01 1.446999466470500910e-07 4.187929768725704900e-08 1.109043516000051364e-08 3.497680698010356415e-08 4.663172168051320226e-08 3.760073324877473922e-09 2.325401863423478734e-09 2.808041855864021010e-09
