# els cl_ilc_tt cl_ilc_ee
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+01 1.751361105869065460e+00 2.082540350841398597e-04
1.200000000000000000e+01 1.364277490865180020e+00 1.846746517468017784e-04
1.300000000000000000e+01 1.037095869099164736e+00 1.653595160010506581e-04
1.400000000000000000e+01 8.070480753131898943e-01 1.493654346205563045e-04
1.500000000000000000e+01 6.218052059046589308e-01 1.358449497775232129e-04
1.600000000000000000e+01 5.247881253647229682e-01 1.243291028341924232e-04
1.700000000000000000e+01 4.360668326990662647e-01 1.143994340163315008e-04
1.800000000000000000e+01 3.680295655991072112e-01 1.057314884660056617e-04
1.900000000000000000e+01 2.922374618191413420e-01 9.820875614163086830e-05
2.000000000000000000e+01 2.411899518978463941e-01 9.160629500874195304e-05
2.100000000000000000e+01 2.134684501515638211e-01 8.574476783138920667e-05
2.200000000000000000e+01 1.815358126119792637e-01 8.051826181021522145e-05
2.300000000000000000e+01 1.559790818337984386e-01 7.582525922597148534e-05
2.400000000000000000e+01 1.363093254790176678e-01 7.154987272194403053e-05
2.500000000000000000e+01 1.196705643752025289e-01 6.773836867761364648e-05
2.600000000000000000e+01 1.002678531772054210e-01 6.421508314276394873e-05
2.700000000000000000e+01 1.035643556331420634e-01 6.105917267571176843e-05
2.800000000000000000e+01 8.624423924932772545e-02 5.814548856705232014e-05
2.900000000000000000e+01 8.146605926166987366e-02 5.549479212782016600e-05
3.000000000000000000e+01 6.465153571961998469e-02 5.300812991407653768e-05
3.100000000000000000e+01 5.563294232432513392e-02 5.075279455979028167e-05
3.200000000000000000e+01 5.366357371357096534e-02 4.867270786326301826e-05
3.300000000000000000e+01 4.700948302211011010e-02 4.674416244025424600e-05
3.400000000000000000e+01 4.582284812393178086e-02 4.491352032748764796e-05
3.500000000000000000e+01 4.050256869386778535e-02 4.316971520075083571e-05
3.600000000000000000e+01 3.627442585204107561e-02 4.159434022045846994e-05
3.700000000000000000e+01 3.383617776846912367e-02 4.015955554770341408e-05
3.800000000000000000e+01 3.199888121766170795e-02 3.878760439368515776e-05
3.900000000000000000e+01 2.949320771161920499e-02 3.747468701276969249e-05
4.000000000000000000e+01 2.673399362712746904e-02 3.626094504395734416e-05
4.100000000000000000e+01 2.506033966530190824e-02 3.508136143228905756e-05
4.200000000000000000e+01 2.245893386077636375e-02 3.398650515090701477e-05
4.300000000000000000e+01 2.211569256593173480e-02 3.296201822888825480e-05
4.400000000000000000e+01 1.880398846238149138e-02 3.199008180890392032e-05
4.500000000000000000e+01 1.863833252332206328e-02 3.107963143277730627e-05
4.600000000000000000e+01 1.683942815699707510e-02 3.020627881575910741e-05
4.700000000000000000e+01 1.569635544663490825e-02 2.936924593451345944e-05
4.800000000000000000e+01 1.490404202677952580e-02 2.861301617988832647e-05
4.900000000000000000e+01 1.398368560719261480e-02 2.783257615935850812e-05
5.000000000000000000e+01 1.286720934112744845e-02 2.714273153607671854e-05
5.100000000000000000e+01 1.216583745384755902e-02 2.644262504070374640e-05
5.200000000000000000e+01 1.214225696875598053e-02 2.580110311928280245e-05
5.300000000000000000e+01 1.164812190742118420e-02 2.519012313991052802e-05
5.400000000000000000e+01 9.885380804026577123e-03 2.459372177105707900e-05
5.500000000000000000e+01 1.010681621638548529e-02 2.403979869623034651e-05
5.600000000000000000e+01 8.907631754410599151e-03 2.350108047686984194e-05
5.700000000000000000e+01 9.256104865888648350e-03 2.296198214333272877e-05
5.800000000000000000e+01 8.219215591606196525e-03 2.248241279257513528e-05
5.900000000000000000e+01 7.879295448125215456e-03 2.199509538884920930e-05
6.000000000000000000e+01 7.699431275451018401e-03 2.154266859933761858e-05
6.100000000000000000e+01 7.218584290113201803e-03 2.109405566383806284e-05
6.200000000000000000e+01 6.659511892184054836e-03 2.067152075235490267e-05
6.300000000000000000e+01 7.261746026919633536e-03 2.024269994012974465e-05
6.400000000000000000e+01 5.750755552780337752e-03 1.985359073367720634e-05
6.500000000000000000e+01 5.926309554593202356e-03 1.948273097206224501e-05
6.600000000000000000e+01 5.379111099140367579e-03 1.909350732843564146e-05
6.700000000000000000e+01 5.298172672508828437e-03 1.873735983315276307e-05
6.800000000000000000e+01 5.204112932743342086e-03 1.842438079423172677e-05
6.900000000000000000e+01 4.793318953757146582e-03 1.808111472560648865e-05
7.000000000000000000e+01 4.584008724510202359e-03 1.778065954665823044e-05
7.100000000000000000e+01 4.427267876206713443e-03 1.745727439795340070e-05
7.200000000000000000e+01 4.256922488620909148e-03 1.715170370081780006e-05
7.300000000000000000e+01 4.029931418496562542e-03 1.686611607792286183e-05
7.400000000000000000e+01 4.025915639788479709e-03 1.658913456180180861e-05
7.500000000000000000e+01 3.915349979796562720e-03 1.631580500274034561e-05
7.600000000000000000e+01 3.724660695015760085e-03 1.604839108591323970e-05
7.700000000000000000e+01 3.558120358331343016e-03 1.579720315607269844e-05
7.800000000000000000e+01 3.460092243565889361e-03 1.554356802851954565e-05
7.900000000000000000e+01 3.354364058681601549e-03 1.529722390613475527e-05
8.000000000000000000e+01 3.079222830469633982e-03 1.506837542382091036e-05
8.100000000000000000e+01 2.945452591544487752e-03 1.483077510233955439e-05
8.200000000000000000e+01 3.080155450266455850e-03 1.462043304161935189e-05
8.300000000000000000e+01 2.995097118848721179e-03 1.439751387917465042e-05
8.400000000000000000e+01 3.042626386860480380e-03 1.421115859933218075e-05
8.500000000000000000e+01 2.789768138195123943e-03 1.400350101676831493e-05
8.600000000000000000e+01 2.903872186927674778e-03 1.382002274820217466e-05
8.700000000000000000e+01 2.627836087466370232e-03 1.361242188185359869e-05
8.800000000000000000e+01 2.584268561670064867e-03 1.338965176214324855e-05
8.900000000000000000e+01 2.488945005725859676e-03 1.320315003889276710e-05
9.000000000000000000e+01 2.470065771176422655e-03 1.306021216576018231e-05
9.100000000000000000e+01 2.402492002456188460e-03 1.290259193944609119e-05
9.200000000000000000e+01 2.405388367969715085e-03 1.272909108353434880e-05
9.300000000000000000e+01 2.231644930538968872e-03 1.255721820895389188e-05
9.400000000000000000e+01 2.236405277914273529e-03 1.240025911064397353e-05
9.500000000000000000e+01 2.100182908013216616e-03 1.226863545338970833e-05
9.600000000000000000e+01 2.080633765354439248e-03 1.210474096185419477e-05
9.700000000000000000e+01 2.048994595842849181e-03 1.196907137375857276e-05
9.800000000000000000e+01 1.977480106895442361e-03 1.182659184544152476e-05
9.900000000000000000e+01 2.011248226807701728e-03 1.169520665912771306e-05
1.000000000000000000e+02 1.900760454038290291e-03 1.155677674135225840e-05
1.010000000000000000e+02 1.792810594135838985e-03 1.142386385953905292e-05
1.020000000000000000e+02 1.803282320964303548e-03 1.128649935767163228e-05
1.030000000000000000e+02 1.757650911916183766e-03 1.115678887610292842e-05
1.040000000000000000e+02 1.722728513656214761e-03 1.103144038153021277e-05
1.050000000000000000e+02 1.709235562360870249e-03 1.092023526602517116e-05
1.060000000000000000e+02 1.656375188521064072e-03 1.079307401192820148e-05
1.070000000000000000e+02 1.680216903990455193e-03 1.069306841503832617e-05
1.080000000000000000e+02 1.535152872935761567e-03 1.057469003001391103e-05
1.090000000000000000e+02 1.545835539621360577e-03 1.047158341421828633e-05
1.100000000000000000e+02 1.480881471685150221e-03 1.036024152429384483e-05
1.110000000000000000e+02 1.487451638682992221e-03 1.025664899771526760e-05
1.120000000000000000e+02 1.436800693716709090e-03 1.013810186103807948e-05
1.130000000000000000e+02 1.424901007967927652e-03 1.003565743011546018e-05
1.140000000000000000e+02 1.359953594125270582e-03 9.939255322325559014e-06
1.150000000000000000e+02 1.388408743057016354e-03 9.842262708525875765e-06
1.160000000000000000e+02 1.306196652316965121e-03 9.735261841791190347e-06
1.170000000000000000e+02 1.345832055339588528e-03 9.638363016901303624e-06
1.180000000000000000e+02 1.289122722432162671e-03 9.527641321386013583e-06
1.190000000000000000e+02 1.233418960289077004e-03 9.419024225098753076e-06
1.200000000000000000e+02 1.262222698920898280e-03 9.328403229175726387e-06
1.210000000000000000e+02 1.182967344237995143e-03 9.251682817977258021e-06
1.220000000000000000e+02 1.167774650304573107e-03 9.163954184043748917e-06
1.230000000000000000e+02 1.160233863026774708e-03 9.083603370037199033e-06
1.240000000000000000e+02 1.108924774467467218e-03 8.993890672905566761e-06
1.250000000000000000e+02 1.165287909222074026e-03 8.930829237099079321e-06
1.260000000000000000e+02 1.107967327458888630e-03 8.847664137125414916e-06
1.270000000000000000e+02 1.104133781537000245e-03 8.748024994744389246e-06
1.280000000000000000e+02 1.094636879901203074e-03 8.656561751981577466e-06
1.290000000000000000e+02 1.034083681749927005e-03 8.597886365056857795e-06
1.300000000000000000e+02 1.025220774336942304e-03 8.529696229715956742e-06
1.310000000000000000e+02 1.017699416510166365e-03 8.442309906108306483e-06
1.320000000000000000e+02 1.003881068978610888e-03 8.373004941583457632e-06
1.330000000000000000e+02 1.011383095446021126e-03 8.304324971685858145e-06
1.340000000000000000e+02 9.901078586192074704e-04 8.237406141026160870e-06
1.350000000000000000e+02 9.404526004445467723e-04 8.145057130556290030e-06
1.360000000000000000e+02 9.543650199007083475e-04 8.078251435254056020e-06
1.370000000000000000e+02 9.369711178619401356e-04 8.020089898394498897e-06
1.380000000000000000e+02 9.258413288800022801e-04 7.960683574013867404e-06
1.390000000000000000e+02 9.277418179960159137e-04 7.880874697521586178e-06
1.400000000000000000e+02 9.273959748294301978e-04 7.820773205825188646e-06
1.410000000000000000e+02 9.049157298722848488e-04 7.740056435454027722e-06
1.420000000000000000e+02 8.785359965728634611e-04 7.700340821842484749e-06
1.430000000000000000e+02 8.795187929656298224e-04 7.622137494765731443e-06
1.440000000000000000e+02 8.608513586074341547e-04 7.576170606056744305e-06
1.450000000000000000e+02 8.527421910454278248e-04 7.535271207431515786e-06
1.460000000000000000e+02 8.387142122322452939e-04 7.465979685459579819e-06
1.470000000000000000e+02 8.243675992629584870e-04 7.398220408004746852e-06
1.480000000000000000e+02 8.137686787220550994e-04 7.329915421685791589e-06
1.490000000000000000e+02 8.098338391424153137e-04 7.296523564809887028e-06
1.500000000000000000e+02 7.927659742076012712e-04 7.242096327386237278e-06
1.510000000000000000e+02 7.928873532377199310e-04 7.187794113123472159e-06
1.520000000000000000e+02 7.729821709820511831e-04 7.111133972815577928e-06
1.530000000000000000e+02 7.882464317829059128e-04 7.044495908048198757e-06
1.540000000000000000e+02 7.611109300543442580e-04 7.013372379925573569e-06
1.550000000000000000e+02 7.490392538481284532e-04 6.979676270460419115e-06
1.560000000000000000e+02 7.446632599238407063e-04 6.927097314131974854e-06
1.570000000000000000e+02 7.399736343440792155e-04 6.865386745296342140e-06
1.580000000000000000e+02 7.254375178105890035e-04 6.814241421241415537e-06
1.590000000000000000e+02 7.200684686895589834e-04 6.766137596689625332e-06
1.600000000000000000e+02 7.082618131724313692e-04 6.732156042799090983e-06
1.610000000000000000e+02 7.142598672641700588e-04 6.681052729945592239e-06
1.620000000000000000e+02 7.022685199083638979e-04 6.641454713974697971e-06
1.630000000000000000e+02 6.886612107009559489e-04 6.601311544135307754e-06
1.640000000000000000e+02 7.004909353452749843e-04 6.547066345033223766e-06
1.650000000000000000e+02 6.908877151497138085e-04 6.492368960988755046e-06
1.660000000000000000e+02 6.742247726457804326e-04 6.457701868581272570e-06
1.670000000000000000e+02 6.781406038235610664e-04 6.417889099463213042e-06
1.680000000000000000e+02 6.713900260313839788e-04 6.396933960531292158e-06
1.690000000000000000e+02 6.495006075429609390e-04 6.335980585840034939e-06
1.700000000000000000e+02 6.444803635487715001e-04 6.298877665201070938e-06
1.710000000000000000e+02 6.624695182023352660e-04 6.260555827400393951e-06
1.720000000000000000e+02 6.538567853152062789e-04 6.204841676820654076e-06
1.730000000000000000e+02 6.310255906204064336e-04 6.182488105027830157e-06
1.740000000000000000e+02 6.417460526896394402e-04 6.153107063954326087e-06
1.750000000000000000e+02 6.215736419243155083e-04 6.105304440136732110e-06
1.760000000000000000e+02 6.189326338828684930e-04 6.085085649961948546e-06
1.770000000000000000e+02 6.097357026954300851e-04 6.027517763126683573e-06
1.780000000000000000e+02 6.120569616969204858e-04 5.986266459639194946e-06
1.790000000000000000e+02 5.973916136629167737e-04 5.954406475208142244e-06
1.800000000000000000e+02 6.103420229951660387e-04 5.917066623761715775e-06
1.810000000000000000e+02 5.963769697352143536e-04 5.873984739672136544e-06
1.820000000000000000e+02 5.974865946260413769e-04 5.842615768444550205e-06
1.830000000000000000e+02 5.918963162340021593e-04 5.794224170551230141e-06
1.840000000000000000e+02 5.861219432867883009e-04 5.760379876105139019e-06
1.850000000000000000e+02 5.732399238838911757e-04 5.724206851837589955e-06
1.860000000000000000e+02 5.721953919768435134e-04 5.702777510458032010e-06
1.870000000000000000e+02 5.627986785699108608e-04 5.670103370894158769e-06
1.880000000000000000e+02 5.598101969833622340e-04 5.635224629936177383e-06
1.890000000000000000e+02 5.601577689809151151e-04 5.601663937098237216e-06
1.900000000000000000e+02 5.573502826328607680e-04 5.563266958969417723e-06
