# els cl_ilc_tt cl_ilc_ee
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+01 1.465205379205967162e+00 2.189281944208294945e-04
1.200000000000000000e+01 1.360290398969013603e+00 1.940795675351210002e-04
1.300000000000000000e+01 9.593129704844419736e-01 1.735758797857320094e-04
1.400000000000000000e+01 8.304493033973919802e-01 1.570576969354515399e-04
1.500000000000000000e+01 5.890571780512560141e-01 1.427686921949941254e-04
1.600000000000000000e+01 4.697645351610734710e-01 1.305058411467285211e-04
1.700000000000000000e+01 3.803949404915500376e-01 1.202185554213824366e-04
1.800000000000000000e+01 3.099686678540767848e-01 1.110079513355745562e-04
1.900000000000000000e+01 2.522634395031700394e-01 1.031445671987975331e-04
2.000000000000000000e+01 2.526514243952715510e-01 9.626229454663986671e-05
2.100000000000000000e+01 1.870500334584389579e-01 9.013734851757026643e-05
2.200000000000000000e+01 1.956713931599941836e-01 8.472066248893911605e-05
2.300000000000000000e+01 1.637909574615665220e-01 7.975963828352578510e-05
2.400000000000000000e+01 1.466061924179043741e-01 7.525145481652877370e-05
2.500000000000000000e+01 1.403403703255883817e-01 7.111307927438598718e-05
2.600000000000000000e+01 1.169667126873793900e-01 6.749219964742174697e-05
2.700000000000000000e+01 1.115383510637293768e-01 6.418468517305253899e-05
2.800000000000000000e+01 1.028062912691277836e-01 6.120038629500397021e-05
2.900000000000000000e+01 9.206463598635548917e-02 5.837777577070013405e-05
3.000000000000000000e+01 7.854891307387869281e-02 5.574274556047204558e-05
3.100000000000000000e+01 7.386413385882900640e-02 5.324723029243534959e-05
3.200000000000000000e+01 6.375570456324287927e-02 5.118316767900207945e-05
3.300000000000000000e+01 5.649378456095219964e-02 4.910848148513284915e-05
3.400000000000000000e+01 5.113113467585432559e-02 4.726083954726875962e-05
3.500000000000000000e+01 4.520678869618184603e-02 4.547912682826954196e-05
3.600000000000000000e+01 4.369629528328661250e-02 4.383734367511326409e-05
3.700000000000000000e+01 4.121358228516548705e-02 4.229144617914758236e-05
3.800000000000000000e+01 3.582037534188185074e-02 4.085384169615667794e-05
3.900000000000000000e+01 3.750632760841408897e-02 3.941742607380370613e-05
4.000000000000000000e+01 3.177699049745923848e-02 3.811644381630499491e-05
4.100000000000000000e+01 3.322803111238057522e-02 3.685423653197548034e-05
4.200000000000000000e+01 2.804121597603265528e-02 3.568093124567911181e-05
4.300000000000000000e+01 2.813962932978539971e-02 3.468445851791831743e-05
4.400000000000000000e+01 2.626102163088811503e-02 3.368301468874597681e-05
4.500000000000000000e+01 2.373701491884527143e-02 3.278155204488880924e-05
4.600000000000000000e+01 2.197369460242442132e-02 3.181722902678329383e-05
4.700000000000000000e+01 2.089955656047496821e-02 3.091733832247695610e-05
4.800000000000000000e+01 1.779173764394749446e-02 3.010410978188133452e-05
4.900000000000000000e+01 1.851650279589586723e-02 2.927878802296130691e-05
5.000000000000000000e+01 1.501052189763388452e-02 2.849178381437439666e-05
5.100000000000000000e+01 1.580650365141431785e-02 2.782537801034929868e-05
5.200000000000000000e+01 1.411242787709029133e-02 2.713894782124914970e-05
5.300000000000000000e+01 1.442934040498739662e-02 2.652255994956122058e-05
5.400000000000000000e+01 1.316427174930760377e-02 2.584007625306522268e-05
5.500000000000000000e+01 1.300398830071385244e-02 2.521139240649697489e-05
5.600000000000000000e+01 1.242709477732092602e-02 2.469152098816616007e-05
5.700000000000000000e+01 1.146122949033855955e-02 2.410210033638653541e-05
5.800000000000000000e+01 1.141830990106630639e-02 2.363833107504304163e-05
5.900000000000000000e+01 1.040024537182073286e-02 2.313885119233088797e-05
6.000000000000000000e+01 1.022617703241998459e-02 2.261654722485931365e-05
6.100000000000000000e+01 9.705160328349893284e-03 2.216931926869494107e-05
6.200000000000000000e+01 9.036712167822404107e-03 2.174164991006574704e-05
6.300000000000000000e+01 8.864031941699339681e-03 2.124702448298352014e-05
6.400000000000000000e+01 8.311602182777591205e-03 2.079029651624249737e-05
6.500000000000000000e+01 7.806959347595960295e-03 2.033486638686849649e-05
6.600000000000000000e+01 7.745465939051284637e-03 1.998589196047865493e-05
6.700000000000000000e+01 7.000821715456280979e-03 1.961904664446892328e-05
6.800000000000000000e+01 7.176908652182418386e-03 1.933483837901117102e-05
6.900000000000000000e+01 6.358565453748903085e-03 1.901728694762233479e-05
7.000000000000000000e+01 6.583663811989365518e-03 1.872491472799049219e-05
7.100000000000000000e+01 5.887742150840983429e-03 1.837729342796557371e-05
7.200000000000000000e+01 5.952995972210660056e-03 1.798975973834735420e-05
7.300000000000000000e+01 5.588893821279093503e-03 1.766695509805660887e-05
7.400000000000000000e+01 5.408629779398873433e-03 1.739218858092679611e-05
7.500000000000000000e+01 5.336390264096921299e-03 1.710994938094908798e-05
7.600000000000000000e+01 5.071452674085829421e-03 1.682093221128558332e-05
7.700000000000000000e+01 4.960831882443025517e-03 1.654601746281509270e-05
7.800000000000000000e+01 4.816631291026060059e-03 1.631312599128653397e-05
7.900000000000000000e+01 4.519778105714545094e-03 1.603350225555837187e-05
8.000000000000000000e+01 4.569608801124848060e-03 1.579988148062565990e-05
8.100000000000000000e+01 4.193782138160647918e-03 1.551898116982767292e-05
8.200000000000000000e+01 4.287655319556024462e-03 1.531542079260810949e-05
8.300000000000000000e+01 4.008807312891344427e-03 1.511830051988984499e-05
8.400000000000000000e+01 3.964687807731154257e-03 1.495197887662426178e-05
8.500000000000000000e+01 3.831714973693801755e-03 1.471648086840728742e-05
8.600000000000000000e+01 3.665899711897600572e-03 1.451305522187143437e-05
8.700000000000000000e+01 3.662273234149228396e-03 1.424728342942787602e-05
8.800000000000000000e+01 3.436132152929633962e-03 1.402244952455865324e-05
8.900000000000000000e+01 3.349646694643992027e-03 1.384250357368480683e-05
9.000000000000000000e+01 3.244039835848738090e-03 1.371187453792121294e-05
9.100000000000000000e+01 3.086608386577381017e-03 1.356521860922351527e-05
9.200000000000000000e+01 3.079038558217473201e-03 1.340341864047461049e-05
9.300000000000000000e+01 2.909718506070749482e-03 1.318730124776789880e-05
9.400000000000000000e+01 2.899594425932159030e-03 1.305627191893278638e-05
9.500000000000000000e+01 2.798150237126790108e-03 1.289611881259818412e-05
9.600000000000000000e+01 2.709002248363439908e-03 1.276722130471631937e-05
9.700000000000000000e+01 2.684614503924405773e-03 1.257371688968700403e-05
9.800000000000000000e+01 2.576119553145214073e-03 1.240369387298131238e-05
9.900000000000000000e+01 2.532023766734529599e-03 1.221395194934515189e-05
1.000000000000000000e+02 2.452767860493636209e-03 1.206310546030848651e-05
1.010000000000000000e+02 2.406325055738221287e-03 1.190476183766595031e-05
1.020000000000000000e+02 2.332561980761882654e-03 1.177530306555315417e-05
1.030000000000000000e+02 2.274151418993204145e-03 1.164860242599879961e-05
1.040000000000000000e+02 2.240477049419503045e-03 1.153340620043830569e-05
1.050000000000000000e+02 2.142491859696202521e-03 1.143289162783182919e-05
1.060000000000000000e+02 2.141473310453204017e-03 1.129424338183628657e-05
1.070000000000000000e+02 2.042841912695859963e-03 1.116116499404569895e-05
1.080000000000000000e+02 2.022470844464648986e-03 1.106367150356585710e-05
1.090000000000000000e+02 1.989443334763732821e-03 1.095675969548591472e-05
1.100000000000000000e+02 1.906948830151559580e-03 1.080253292888146773e-05
1.110000000000000000e+02 1.913175168680466545e-03 1.069119340510299997e-05
1.120000000000000000e+02 1.824887664864609628e-03 1.057294322791100365e-05
1.130000000000000000e+02 1.794318591215575453e-03 1.045323972519099506e-05
1.140000000000000000e+02 1.762993428407708639e-03 1.035378874059373632e-05
1.150000000000000000e+02 1.712119425532521123e-03 1.023255692914943780e-05
1.160000000000000000e+02 1.700441744913274529e-03 1.013706600430459795e-05
1.170000000000000000e+02 1.653444015798948962e-03 1.003892825087854969e-05
1.180000000000000000e+02 1.614071752133455252e-03 9.965632975029789097e-06
1.190000000000000000e+02 1.598238499439602394e-03 9.834814963289546794e-06
1.200000000000000000e+02 1.543512123829126562e-03 9.753881687926012066e-06
1.210000000000000000e+02 1.541512856268144153e-03 9.656071352338351567e-06
1.220000000000000000e+02 1.496608894308823360e-03 9.553453354942846855e-06
1.230000000000000000e+02 1.493435677433897595e-03 9.509581299930017193e-06
1.240000000000000000e+02 1.460292286623191948e-03 9.401122616690023914e-06
1.250000000000000000e+02 1.433289521439952115e-03 9.315879112263647123e-06
1.260000000000000000e+02 1.412506713350121382e-03 9.219988276977360040e-06
1.270000000000000000e+02 1.382184073966675943e-03 9.080327067981645273e-06
1.280000000000000000e+02 1.362419125881840238e-03 9.000333498768494573e-06
1.290000000000000000e+02 1.340074626798229765e-03 8.948752108420649374e-06
1.300000000000000000e+02 1.312260185822580619e-03 8.864590755818021469e-06
1.310000000000000000e+02 1.298713272071258485e-03 8.824945550916373868e-06
1.320000000000000000e+02 1.255679146525064864e-03 8.753500651860796444e-06
1.330000000000000000e+02 1.264948115105624799e-03 8.692169678584841405e-06
1.340000000000000000e+02 1.227021192079423995e-03 8.612655138312391080e-06
1.350000000000000000e+02 1.224952542817389850e-03 8.500084430797798945e-06
1.360000000000000000e+02 1.191192183352619751e-03 8.428437467946890636e-06
1.370000000000000000e+02 1.176630532323616734e-03 8.334267063640989255e-06
1.380000000000000000e+02 1.160194220689238177e-03 8.263624695453852397e-06
1.390000000000000000e+02 1.142442401572554746e-03 8.178651229484995973e-06
1.400000000000000000e+02 1.123133914302256635e-03 8.127639550932256758e-06
1.410000000000000000e+02 1.116541323865533758e-03 8.062583573330304860e-06
1.420000000000000000e+02 1.092452243542871683e-03 8.052165131230273952e-06
1.430000000000000000e+02 1.086199099812856480e-03 7.956265015198237258e-06
1.440000000000000000e+02 1.070634691855769285e-03 7.909083280864338385e-06
1.450000000000000000e+02 1.059019132694256210e-03 7.869519870836712776e-06
1.460000000000000000e+02 1.040925318441272319e-03 7.807080459616881095e-06
1.470000000000000000e+02 1.032129417996470672e-03 7.708445008072271781e-06
1.480000000000000000e+02 1.015356441059563032e-03 7.691617076096509111e-06
1.490000000000000000e+02 9.983029058305084320e-04 7.610408689157374150e-06
1.500000000000000000e+02 9.917923996242237073e-04 7.526324939471571393e-06
1.510000000000000000e+02 9.672776006472743248e-04 7.477552754636466191e-06
1.520000000000000000e+02 9.676733820996223992e-04 7.379131252070183109e-06
1.530000000000000000e+02 9.478064031887019738e-04 7.351244118121091166e-06
1.540000000000000000e+02 9.413179361385948110e-04 7.305378165316263323e-06
1.550000000000000000e+02 9.358304717594286308e-04 7.257140448649495252e-06
1.560000000000000000e+02 9.216095745545989848e-04 7.215173850051368079e-06
1.570000000000000000e+02 9.168507681314467736e-04 7.150936729723740678e-06
1.580000000000000000e+02 9.004518991287587806e-04 7.084485415455799258e-06
1.590000000000000000e+02 8.868246220132372818e-04 7.036029010375487213e-06
1.600000000000000000e+02 8.820207188605169724e-04 6.960820017683559399e-06
1.610000000000000000e+02 8.629976424961563258e-04 6.871881233624371929e-06
1.620000000000000000e+02 8.637803214223308901e-04 6.818772245651514717e-06
1.630000000000000000e+02 8.447072560636794715e-04 6.789598901230855766e-06
1.640000000000000000e+02 8.456644151039057703e-04 6.740494872459486700e-06
1.650000000000000000e+02 8.330982411563834893e-04 6.718028812085064769e-06
1.660000000000000000e+02 8.245843936095711025e-04 6.676522545276283816e-06
1.670000000000000000e+02 8.184259512588332175e-04 6.620513712165089422e-06
1.680000000000000000e+02 8.080078541303394989e-04 6.617572005663803578e-06
1.690000000000000000e+02 8.028927633344202326e-04 6.571633999363487339e-06
1.700000000000000000e+02 7.947101862766103603e-04 6.513962877590921238e-06
1.710000000000000000e+02 7.880392720275812687e-04 6.497619163067528437e-06
1.720000000000000000e+02 7.810325603905723512e-04 6.420130008452023539e-06
1.730000000000000000e+02 7.694034485588018566e-04 6.387845364187832818e-06
1.740000000000000000e+02 7.661269807213718459e-04 6.339123415222797540e-06
1.750000000000000000e+02 7.529057797804238278e-04 6.305826440266514711e-06
1.760000000000000000e+02 7.487866704550605931e-04 6.290306207020878418e-06
1.770000000000000000e+02 7.409023204336580033e-04 6.227486711778659450e-06
1.780000000000000000e+02 7.328342212673830212e-04 6.219027827376934236e-06
1.790000000000000000e+02 7.303269664889599361e-04 6.185747130035036238e-06
1.800000000000000000e+02 7.186257797899473204e-04 6.150413058780181034e-06
1.810000000000000000e+02 7.164163535561150417e-04 6.088972947672815924e-06
1.820000000000000000e+02 7.103571912750290211e-04 6.077014931394770359e-06
1.830000000000000000e+02 7.033802254880025962e-04 6.024892286762435406e-06
1.840000000000000000e+02 6.998330625798314733e-04 5.954795079826139796e-06
1.850000000000000000e+02 6.906642775937402168e-04 5.941566205266868864e-06
1.860000000000000000e+02 6.889425095436821009e-04 5.911907873276099882e-06
1.870000000000000000e+02 6.817264543305030268e-04 5.857929867942331234e-06
1.880000000000000000e+02 6.778757634557576895e-04 5.810691419580029964e-06
1.890000000000000000e+02 6.699786049202609110e-04 5.756599352685920772e-06
1.900000000000000000e+02 6.638094789463957947e-04 5.743018705489292279e-06
