#MV iteative lensing noise curves
# \ell Mask0 Mask1 Mask2
2.000000000000000000e+00 3.442481012825671760e-09 3.596245047383931234e-09 3.852208397753628696e-09
3.000000000000000000e+00 1.706609291334234991e-09 1.778542404668262321e-09 1.898788640518756350e-09
4.000000000000000000e+00 1.033421803399052113e-09 1.075368730497918793e-09 1.145785973328566997e-09
5.000000000000000000e+00 6.970395718368941901e-10 7.246545616544729159e-10 7.711363948195826597e-10
6.000000000000000000e+00 5.030881680008426840e-10 5.226521117625024136e-10 5.556546857745281095e-10
7.000000000000000000e+00 3.807492007380564063e-10 3.953594976544856498e-10 4.200254628125600144e-10
8.000000000000000000e+00 2.984294262628445385e-10 3.097477852311858118e-10 3.288925783111637522e-10
9.000000000000000000e+00 2.403326056314477691e-10 2.493692078420972140e-10 2.646639487689591673e-10
1.000000000000000000e+01 1.977694898975013705e-10 2.051462421075920795e-10 2.176515763417340549e-10
1.100000000000000000e+01 1.656389765115152426e-10 1.717805738574149572e-10 1.821961043134992564e-10
1.200000000000000000e+01 1.407814644083208775e-10 1.459715044923606255e-10 1.547836045068113839e-10
1.300000000000000000e+01 1.211506100733976160e-10 1.255971150087258829e-10 1.331502255310670084e-10
1.400000000000000000e+01 1.053744176125688005e-10 1.092256511768702891e-10 1.157733086672713115e-10
1.500000000000000000e+01 9.250379554425358190e-11 9.587328336211142133e-11 1.016042292246182023e-10
1.600000000000000000e+01 8.186579407883620539e-11 8.483803730992998247e-11 8.989703385234400983e-11
1.700000000000000000e+01 7.297120522310315984e-11 7.561339114803039152e-11 8.011250053595906722e-11
1.800000000000000000e+01 6.542788219683182005e-11 6.779112680119718593e-11 7.181682243962959459e-11
1.900000000000000000e+01 5.905537018307427911e-11 6.118353593132523093e-11 6.481054581744415863e-11
2.000000000000000000e+01 5.354947480001958654e-11 5.547529223399664663e-11 5.875876284009818355e-11
2.100000000000000000e+01 4.879018997733176814e-11 5.054173154309414073e-11 5.352902159967429658e-11
2.200000000000000000e+01 4.463308040640891755e-11 4.623274718556134357e-11 4.896195652313873611e-11
2.300000000000000000e+01 4.100106088973430964e-11 4.246833974740801927e-11 4.497256611033582760e-11
2.400000000000000000e+01 3.779025676094930648e-11 3.914081921976586319e-11 4.144650322490618265e-11
2.500000000000000000e+01 3.495064941685912952e-11 3.619827358568151679e-11 3.832867355090425394e-11
2.600000000000000000e+01 3.241905553052059658e-11 3.357512503609518812e-11 3.554953343363117151e-11
2.700000000000000000e+01 3.015709795756518309e-11 3.123153838728067102e-11 3.306680750267564888e-11
2.800000000000000000e+01 2.811784695074221532e-11 2.911882367029037510e-11 3.082883260259766691e-11
2.900000000000000000e+01 2.628661388140726815e-11 2.722173022387655332e-11 2.881941748890972151e-11
3.000000000000000000e+01 2.463927099224160248e-11 2.551523223226732713e-11 2.701202335957433020e-11
3.100000000000000000e+01 2.313656484647704069e-11 2.395863021670218029e-11 2.536350253729921460e-11
3.200000000000000000e+01 2.176829791000330118e-11 2.254134790407706971e-11 2.386262813927894017e-11
3.300000000000000000e+01 2.052272316700246870e-11 2.125120924396368124e-11 2.249647860673531438e-11
3.400000000000000000e+01 1.937976534879654962e-11 2.006740953137659453e-11 2.124299188689896889e-11
