# els cl_kk n0_tt n0_ee n0_te n0_tb n0_eb n0_mv n0_mvpol
0.000000000000000000e+00 0.000000000000000000e+00 nan nan nan nan nan nan nan
1.000000000000000000e+00 0.000000000000000000e+00 9.789035884917514656e-08 3.652877165583405182e-08 6.129722596073248775e-08 1.340383428217435744e-04 2.147261458031813201e-05 1.853252942771813093e-08 3.646673519362591812e-08
2.000000000000000000e+00 5.269503946800194147e-08 6.120778717234229595e-08 2.573742477409047035e-08 4.506249893404455569e-08 2.775284635685257157e-07 2.480064439860956630e-08 8.243487233419295717e-09 1.263017622174978564e-08
3.000000000000000000e+00 6.397068978703747887e-08 5.597539100556954489e-08 2.396974230843419274e-08 4.226889046987798573e-08 2.225257111667806557e-07 1.986063993552840091e-08 7.241809953487915643e-09 1.086128837949586490e-08
4.000000000000000000e+00 7.364267632810360767e-08 5.413186514324010512e-08 2.333139145516980486e-08 4.125129423219767554e-08 2.063776413991492861e-07 1.840257875805412524e-08 6.907915130020425037e-09 1.028796844860702941e-08
5.000000000000000000e+00 8.203135823070379969e-08 5.326133112684744473e-08 2.302746916459958047e-08 4.076607707746919391e-08 1.992349192979739032e-07 1.775405278581031711e-08 6.753274655546475984e-09 1.002490548462258181e-08
6.000000000000000000e+00 8.933791348121388742e-08 5.278187215165758444e-08 2.286008041700709482e-08 4.049956954450159443e-08 1.954025032450298397e-07 1.740455768916059776e-08 6.668633763957652834e-09 9.881365066477656843e-09
7.000000000000000000e+00 9.576289852191443412e-08 5.249171980809704386e-08 2.275950823624571975e-08 4.034054935197801201e-08 1.930897887027197245e-07 1.719319910124856902e-08 6.617313518148536667e-09 9.794298875587062108e-09
8.000000000000000000e+00 1.014460829264389247e-07 5.230479044182420743e-08 2.269582503149187501e-08 4.024115366613028961e-08 1.915772060647775080e-07 1.705504545271402090e-08 6.583999717023051426e-09 9.737606316136782803e-09
9.000000000000000000e+00 1.064977726421917786e-07 5.217931956279984445e-08 2.265436997523674137e-08 4.017788146149382709e-08 1.905263155286797956e-07 1.695950987618774518e-08 6.561327704986636213e-09 9.698797814676131012e-09
1.000000000000000000e+01 1.109971973743567306e-07 5.209266665667384781e-08 2.262727215803722560e-08 4.013810388785803766e-08 1.897636711367801794e-07 1.689062806561174388e-08 6.545396146059010233e-09 9.671284050969462060e-09
1.100000000000000000e+01 1.150375841042654021e-07 5.203202915080334872e-08 2.260997421274249600e-08 4.011450108442098986e-08 1.891921884836334837e-07 1.683937296338846254e-08 6.533978762629695334e-09 9.651307707604698538e-09
1.200000000000000000e+01 1.186233615575389917e-07 5.198943236507515280e-08 2.259970262316087024e-08 4.010262847001161993e-08 1.887576420365969322e-07 1.680027858967619140e-08 6.525724478454258532e-09 9.636585816168688521e-09
1.300000000000000000e+01 1.218661366493972952e-07 5.195991566394436640e-08 2.259467316894158803e-08 4.009960983190162961e-08 1.884220295684948354e-07 1.676988571208166991e-08 6.519769472133048612e-09 9.625665764227637027e-09
1.400000000000000000e+01 1.247513741966172151e-07 5.194003392951073685e-08 2.259371230915121786e-08 4.010357029968757718e-08 1.881583497037060310e-07 1.674582554070264510e-08 6.515525735079228873e-09 9.617559974647176470e-09
1.500000000000000000e+01 1.273586717373385477e-07 5.192755796781399033e-08 2.259600758793920217e-08 4.011320578623997560e-08 1.879465573586607654e-07 1.672642485056344330e-08 6.512581187226757045e-09 9.611572820005797998e-09
1.600000000000000000e+01 1.296973993681412627e-07 5.192083301195184852e-08 2.260099279540033916e-08 4.012762290999121117e-08 1.877729938592112406e-07 1.671052008457713221e-08 6.510647829880915049e-09 9.607219777880419673e-09
1.700000000000000000e+01 1.317739907900469953e-07 5.191876799210364989e-08 2.260825805653578237e-08 4.014615004041351269e-08 1.876285302613924166e-07 1.669731209054197961e-08 6.509525396588105939e-09 9.604163969150660208e-09
1.800000000000000000e+01 1.336464483585028981e-07 5.192042168802028875e-08 2.261750219548660933e-08 4.016832821024927220e-08 1.875070581991656740e-07 1.668623858435407520e-08 6.509069789210416233e-09 9.602165858207949088e-09
1.900000000000000000e+01 1.353205218184977116e-07 5.192525027284673972e-08 2.262850276629618911e-08 4.019377957640109797e-08 1.874039830662466516e-07 1.667688798324665287e-08 6.509176287275339721e-09 9.601049593089156128e-09
2.000000000000000000e+01 1.368006113098819748e-07 5.193266864250176026e-08 2.264108537756502360e-08 4.022226070023023067e-08 1.873163488133414703e-07 1.666894690173248002e-08 6.509763770065868919e-09 9.600680235385641830e-09
2.100000000000000000e+01 1.381107306976346640e-07 5.194240553718427462e-08 2.265512225734474193e-08 4.025353958434684088e-08 1.872410527990980349e-07 1.666216347633266671e-08 6.510769266389342669e-09 9.600951428466632118e-09
2.200000000000000000e+01 1.392775460825436840e-07 5.195407568849764581e-08 2.267050861384428419e-08 4.028749177665371061e-08 1.871767449877592727e-07 1.665634480068344420e-08 6.512143733191358428e-09 9.601780348375456169e-09
2.300000000000000000e+01 1.403022785155850215e-07 5.196752349649838351e-08 2.268716555348528474e-08 4.032396882819660941e-08 1.871216577634457503e-07 1.665133454694697358e-08 6.513848245187727130e-09 9.603100844938005293e-09
2.400000000000000000e+01 1.411959644107980532e-07 5.198250106865568587e-08 2.270502768324380669e-08 4.036289930272960819e-08 1.870743454759000142e-07 1.664700583715863259e-08 6.515850374388640021e-09 9.604858874188684622e-09
2.500000000000000000e+01 1.419722517095837260e-07 5.199891792425099657e-08 2.272404536479383335e-08 4.040419156358260315e-08 1.870336797194394570e-07 1.664325888536302286e-08 6.518125409234236860e-09 9.607012141998277610e-09
2.600000000000000000e+01 1.426288306932949237e-07 5.201659556060063169e-08 2.274417525602156267e-08 4.044780218012107551e-08 1.869987068237193825e-07 1.664001084661326756e-08 6.520651788326141434e-09 9.609525050770374480e-09
2.700000000000000000e+01 1.431890761673854203e-07 5.203548206732216925e-08 2.276538681359923300e-08 4.049367760915011474e-08 1.869686819479875674e-07 1.663719489505798257e-08 6.523413396245636646e-09 9.612369567043295339e-09
2.800000000000000000e+01 1.436580096236800813e-07 5.205545151098012971e-08 2.278764917336002565e-08 4.054178885665840327e-08 1.869429561642466047e-07 1.663475424142199641e-08 6.526395185751082146e-09 9.615520894305755851e-09
2.900000000000000000e+01 1.440362651115969765e-07 5.207647840768200936e-08 2.281094369767571032e-08 4.059211846423366009e-08 1.869210243636019333e-07 1.663264227531507854e-08 6.529586695531783095e-09 9.618959765615468833e-09
3.000000000000000000e+01 1.443384021992152481e-07 5.209846800970714118e-08 2.283524826616759866e-08 4.064463749320279841e-08 1.869024314950426787e-07 1.663081911115210732e-08 6.532976856509586902e-09 9.622668497523725401e-09
3.100000000000000000e+01 1.445493689496947345e-07 5.212139212651822086e-08 2.286055222519774280e-08 4.069934468395415365e-08 1.868868209810881733e-07 1.662925171846539638e-08 6.536558448031253004e-09 9.626633698112856728e-09
3.200000000000000000e+01 1.446999466470500910e-07 5.214519991395594374e-08 2.288683913193917563e-08 4.075622135555107811e-08 1.868738717142050702e-07 1.662791183610777716e-08 6.540323720447892287e-09 9.630842507417061971e-09
3.300000000000000000e+01 1.447844421275574939e-07 5.216987319725739590e-08 2.291410241348055463e-08 4.081527784931819994e-08 1.868633251531419271e-07 1.662677567728908484e-08 6.544267734468881521e-09 9.635285281241813365e-09
3.400000000000000000e+01 1.448132174608296323e-07 5.219536154452320785e-08 2.294233122430839067e-08 4.087649581143696056e-08 1.868549518874287382e-07 1.662582288720582632e-08 6.548384496809481940e-09 9.639952737748936938e-09
3.500000000000000000e+01 1.447830795066853968e-07 5.222164975212006661e-08 2.297152117532803963e-08 4.093988739972530506e-08 1.868485616989037495e-07 1.662503590858321134e-08 6.552670337122173448e-09 9.644837645992754993e-09
3.600000000000000000e+01 1.447000030156423192e-07 5.224870386313419803e-08 2.300166535598696268e-08 4.100546050364696500e-08 1.868439857681557575e-07 1.662439988358292381e-08 6.557121394890881960e-09 9.649933208216603997e-09
3.700000000000000000e+01 1.445632347768057606e-07 5.227652256771603625e-08 2.303276080255612213e-08 4.107320198376004720e-08 1.868410864179299137e-07 1.662390149914586706e-08 6.561734362806009046e-09 9.655233814739061015e-09
3.800000000000000000e+01 1.443811256609273988e-07 5.230507081429294670e-08 2.306480370903173070e-08 4.114314111020898060e-08 1.868397307563055517e-07 1.662352975911461249e-08 6.566506761530389127e-09 9.660734461248058390e-09
3.900000000000000000e+01 1.441620489412671422e-07 5.233434326075421985e-08 2.309779148869079409e-08 4.121527654006530619e-08 1.868398227305847771e-07 1.662327431489278055e-08 6.571436020535481426e-09 9.666430550563484796e-09
4.000000000000000000e+01 1.439031465930225780e-07 5.236431947279302299e-08 2.313172425975428970e-08 4.128962689939612804e-08 1.868412564032780780e-07 1.662312681938019994e-08 6.576520337339564035e-09 9.672318609756962098e-09
4.100000000000000000e+01 1.436061262774380478e-07 5.239499985893545093e-08 2.316659822510393820e-08 4.136620127332485555e-08 1.868439655387416816e-07 1.662307910966074140e-08 6.581757734431025230e-09 9.678394518197376976e-09
4.200000000000000000e+01 1.432772273576018745e-07 5.242635787118159888e-08 2.320241596391424098e-08 4.144501691090343688e-08 1.868478647113630610e-07 1.662312470445525871e-08 6.587146749010807941e-09 9.684655814832928131e-09
4.300000000000000000e+01 1.429137365725095958e-07 5.245839912918807257e-08 2.323917478939142516e-08 4.152608390049329348e-08 1.868529046879604326e-07 1.662325712488541796e-08 6.592685843047304411e-09 9.691099096135434395e-09
4.400000000000000000e+01 1.425174735943333731e-07 5.249110133181309920e-08 2.327687731891879472e-08 4.160941854986601574e-08 1.868590190394697057e-07 1.662347125999946700e-08 6.598373794532698255e-09 9.697722323609596869e-09
4.500000000000000000e+01 1.420947630115992329e-07 5.252447429976895688e-08 2.331552331698758693e-08 4.169504546026991638e-08 1.868661719915014429e-07 1.662376193369522776e-08 6.604209873143380964e-09 9.704522916430892348e-09
4.600000000000000000e+01 1.416474664854288587e-07 5.255849082318670387e-08 2.335511386752383492e-08 4.178297436821704355e-08 1.868743136761310073e-07 1.662412514189844736e-08 6.610192641085196934e-09 9.711498899353727382e-09
4.700000000000000000e+01 1.411774697525326327e-07 5.259316570083713463e-08 2.339565207088609436e-08 4.187323591442718254e-08 1.868834145731874464e-07 1.662455674614537322e-08 6.616321992310186961e-09 9.718648576865908632e-09
4.800000000000000000e+01 1.406866800930214213e-07 5.262847700509629583e-08 2.343713732748904722e-08 4.196583822022864704e-08 1.868934380877688182e-07 1.662505355848101467e-08 6.622596499384316631e-09 9.725969916024606914e-09
4.900000000000000000e+01 1.401747940525889571e-07 5.266443268418868569e-08 2.347957488306931119e-08 4.206081553285507890e-08 1.869043604813681088e-07 1.662561223765947352e-08 6.629016296459281911e-09 9.733461817193126220e-09
5.000000000000000000e+01 1.396415326854372956e-07 5.270101698381111457e-08 2.352296342786751616e-08 4.215816948111436694e-08 1.869161544209906284e-07 1.662623019211196602e-08 6.635579899531709813e-09 9.741122286394660952e-09
5.100000000000000000e+01 1.390910922528686905e-07 5.273823414178884261e-08 2.356730927041907122e-08 4.225794511229264603e-08 1.869288014665270186e-07 1.662690465831645483e-08 6.642287787751223583e-09 9.748950557586951962e-09
5.200000000000000000e+01 1.385232259537537232e-07 5.277607252861902695e-08 2.361261187051312687e-08 4.236013916648885685e-08 1.869422819572127903e-07 1.662763356886063106e-08 6.649138533807812959e-09 9.756944906763751568e-09
5.300000000000000000e+01 1.379399291135119277e-07 5.281453886046839700e-08 2.365887670484615246e-08 4.246479336806587890e-08 1.869565813634484836e-07 1.662841462925053075e-08 6.656132539289951876e-09 9.765104539990273676e-09
5.400000000000000000e+01 1.373432079984332814e-07 5.285362052035188343e-08 2.370610541923983840e-08 4.257192221722137492e-08 1.869716865381493739e-07 1.662924614355478512e-08 6.663268997149818897e-09 9.773428192583829576e-09
5.500000000000000000e+01 1.367328584745371577e-07 5.289331986572389556e-08 2.375430205564110045e-08 4.268155607598256979e-08 1.869875862836233578e-07 1.663012620150504310e-08 6.670547862886743982e-09 9.781914912812445864e-09
5.600000000000000000e+01 1.361109100363956407e-07 5.293362974336593504e-08 2.380346948411611118e-08 4.279371508855129697e-08 1.870042697775746785e-07 1.663105333418129389e-08 6.677968645444799325e-09 9.790563680146859305e-09
5.700000000000000000e+01 1.354794001212512975e-07 5.297455277759334408e-08 2.385361214249726770e-08 4.290842217528337517e-08 1.870217300145330128e-07 1.663202595860088220e-08 6.685531164413198373e-09 9.799373678382275533e-09
5.800000000000000000e+01 1.348381571804334429e-07 5.301607798873671317e-08 2.390473304629014765e-08 4.302570742379439987e-08 1.870399585511867512e-07 1.663304278800111112e-08 6.693235106950634520e-09 9.808343931349772640e-09
5.900000000000000000e+01 1.341870213908172225e-07 5.305821253890648738e-08 2.395683613635753905e-08 4.314560029384806389e-08 1.870589511836860713e-07 1.663410249909782703e-08 6.701080480973491753e-09 9.817473585057231963e-09
6.000000000000000000e+01 1.335280574047286455e-07 5.310094258095042595e-08 2.400992599778093663e-08 4.326812670928359996e-08 1.870787026763022416e-07 1.663520398402291903e-08 6.709066932909319168e-09 9.826761946466650337e-09
6.100000000000000000e+01 1.328589098787650774e-07 5.314427540196470059e-08 2.406400632612707534e-08 4.339331626589236228e-08 1.870992100574304956e-07 1.663634610967871166e-08 6.717194438997231248e-09 9.836208142383427338e-09
6.200000000000000000e+01 1.321838715405823524e-07 5.318820123222292415e-08 2.411908139111496378e-08 4.352119790406854901e-08 1.871204705137382756e-07 1.663752792442662352e-08 6.725462736586177906e-09 9.845811437586251967e-09
6.300000000000000000e+01 1.315028139656697513e-07 5.323272426711963095e-08 2.417515591105598504e-08 4.365178904169608518e-08 1.871424833265484869e-07 1.663874844300259566e-08 6.733871518367127459e-09 9.855571137840141079e-09
6.400000000000000000e+01 1.308156168167920263e-07 5.327783311287799157e-08 2.423223367019041738e-08 4.378513667358987688e-08 1.871652453629729780e-07 1.664000686240410448e-08 6.742420861416677569e-09 9.865486435513304406e-09
6.500000000000000000e+01 1.301243753724496958e-07 5.332353548760282321e-08 2.429032007656985661e-08 4.392125471860469502e-08 1.871887576824727245e-07 1.664130230187259000e-08 6.751110453917993916e-09 9.875556743539607296e-09
6.600000000000000000e+01 1.294289806060595058e-07 5.336982424245588635e-08 2.434941907036160723e-08 4.406018748921382026e-08 1.872130173870767513e-07 1.664263408899524839e-08 6.759940356267012143e-09 9.885781282832163922e-09
6.700000000000000000e+01 1.287293300472311594e-07 5.341670166655583087e-08 2.440953599277021234e-08 4.420196109864678565e-08 1.872380277569420904e-07 1.664400142029495620e-08 6.768910416772021292e-09 9.896159437971190929e-09
6.800000000000000000e+01 1.280275325003452568e-07 5.346416065100588530e-08 2.447067542497117349e-08 4.434660646835600908e-08 1.872637855281346936e-07 1.664540373736277134e-08 6.778020393464658827e-09 9.906690532587368765e-09
6.900000000000000000e+01 1.273190858590429421e-07 5.351220413297951587e-08 2.453284234119053037e-08 4.449415819699056677e-08 1.872902959137623249e-07 1.664684030787906456e-08 6.787270277087929968e-09 9.917373871782373342e-09
7.000000000000000000e+01 1.266105174876980555e-07 5.356082597932345900e-08 2.459604257475187785e-08 4.464464598088040842e-08 1.873175551943626259e-07 1.664831067119936377e-08 6.796659869746770255e-09 9.928208975048300388e-09
7.100000000000000000e+01 1.258995389401804465e-07 5.361003129277089144e-08 2.466027977497794891e-08 4.479810884786099132e-08 1.873455693371643635e-07 1.664981417327067481e-08 6.806189156963782718e-09 9.939194915136600976e-09
7.200000000000000000e+01 1.251882732846780658e-07 5.365980878164267581e-08 2.472556088327424573e-08 4.495457185807037561e-08 1.873743367693608155e-07 1.665135040777220942e-08 6.815857791697850198e-09 9.950331367174714997e-09
7.300000000000000000e+01 1.244744429628706539e-07 5.371016685761052513e-08 2.479188975736258410e-08 4.511408208667781043e-08 1.874038613167982107e-07 1.665291875928518513e-08 6.825665960801878253e-09 9.961617408671943761e-09
7.400000000000000000e+01 1.237601778552401651e-07 5.376109332204594398e-08 2.485927269039528532e-08 4.527666829407115403e-08 1.874341449226316989e-07 1.665451885606842418e-08 6.835613291334727168e-09 9.973052577164629921e-09
7.500000000000000000e+01 1.230454092366007361e-07 5.381259885637481184e-08 2.492771544471929161e-08 4.544236860991484415e-08 1.874651887044214363e-07 1.665615011836689394e-08 6.845699889433870323e-09 9.984636226886721224e-09
7.600000000000000000e+01 1.223300720220819180e-07 5.386466577371353248e-08 2.499722228286077981e-08 4.561121283294503440e-08 1.874969964367626264e-07 1.665781222386741549e-08 6.855925118026769021e-09 9.996367542053331618e-09
