# els cl_ilc_tt cl_ilc_ee
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+01 1.221268765462402150e+00 2.188111247904168943e-04
1.200000000000000000e+01 9.613888232753693419e-01 1.940868236091501978e-04
1.300000000000000000e+01 7.291677266183794748e-01 1.737885397412835110e-04
1.400000000000000000e+01 5.709082044760732666e-01 1.570272522987806489e-04
1.500000000000000000e+01 4.377159070552524844e-01 1.428032691819513546e-04
1.600000000000000000e+01 3.733177661080672727e-01 1.306575476147743878e-04
1.700000000000000000e+01 3.130389853709951709e-01 1.201303524099197852e-04
1.800000000000000000e+01 2.653221628224718964e-01 1.107961867759794494e-04
1.900000000000000000e+01 2.088894599703396970e-01 1.029350776620464338e-04
2.000000000000000000e+01 1.717618259676389758e-01 9.604176474665135127e-05
2.100000000000000000e+01 1.534120328634129005e-01 8.991273995906930801e-05
2.200000000000000000e+01 1.308717784289343822e-01 8.453934552744122471e-05
2.300000000000000000e+01 1.125394310712139051e-01 7.962475393289959952e-05
2.400000000000000000e+01 9.858974833685359151e-02 7.501751801020797405e-05
2.500000000000000000e+01 8.669669060791873605e-02 7.108269138183900859e-05
2.600000000000000000e+01 7.218165879539813201e-02 6.729060849736604843e-05
2.700000000000000000e+01 7.693890034666966971e-02 6.399623459765892792e-05
2.800000000000000000e+01 6.345791317961620159e-02 6.096743865688575222e-05
2.900000000000000000e+01 6.060750391432069561e-02 5.819943518595562058e-05
3.000000000000000000e+01 4.713745084154871007e-02 5.549979528030962267e-05
3.100000000000000000e+01 4.022788751486583436e-02 5.315372152536718782e-05
3.200000000000000000e+01 3.942618483792653672e-02 5.105716937928772488e-05
3.300000000000000000e+01 3.438439186397559272e-02 4.908693880705864001e-05
3.400000000000000000e+01 3.407371179669017869e-02 4.710767565602068309e-05
3.500000000000000000e+01 2.998171708767197532e-02 4.510316922607084453e-05
3.600000000000000000e+01 2.679078977602549622e-02 4.346200147592363638e-05
3.700000000000000000e+01 2.511270364236274991e-02 4.208391912528136760e-05
3.800000000000000000e+01 2.398169236766827667e-02 4.068382588732451569e-05
3.900000000000000000e+01 2.211209476230591164e-02 3.926257768769671511e-05
4.000000000000000000e+01 2.003429177640986270e-02 3.798506259488330667e-05
4.100000000000000000e+01 1.883795940855156892e-02 3.667095056034795636e-05
4.200000000000000000e+01 1.682974902465517522e-02 3.546464073046600303e-05
4.300000000000000000e+01 1.675771623173689939e-02 3.440209684173988196e-05
4.400000000000000000e+01 1.405285177739726624e-02 3.337068207432630724e-05
4.500000000000000000e+01 1.410570545307010364e-02 3.247401063332287053e-05
4.600000000000000000e+01 1.270790714139906526e-02 3.152024433638154778e-05
4.700000000000000000e+01 1.184722006269281654e-02 3.063925792114943357e-05
4.800000000000000000e+01 1.130521550386678030e-02 2.990856548258817308e-05
4.900000000000000000e+01 1.062747034166318556e-02 2.902031743779045987e-05
5.000000000000000000e+01 9.768460512504923560e-03 2.831808727676624716e-05
5.100000000000000000e+01 9.262077521676612135e-03 2.753207997923735103e-05
5.200000000000000000e+01 9.336387856004503202e-03 2.689636061851894804e-05
5.300000000000000000e+01 9.000082201395670500e-03 2.626699956354420134e-05
5.400000000000000000e+01 7.534726636626434132e-03 2.563836168512873023e-05
5.500000000000000000e+01 7.800756005020312127e-03 2.509598946311735932e-05
5.600000000000000000e+01 6.819052517419298305e-03 2.451939575470130504e-05
5.700000000000000000e+01 7.192193095526920946e-03 2.390586941131843293e-05
5.800000000000000000e+01 6.341626224150760834e-03 2.346339140579102687e-05
5.900000000000000000e+01 6.100954709668184039e-03 2.292475534219484413e-05
6.000000000000000000e+01 5.993917005204826669e-03 2.247409214731342940e-05
6.100000000000000000e+01 5.623212050682045195e-03 2.201397436314383966e-05
6.200000000000000000e+01 5.175468131562598398e-03 2.156039337288342440e-05
6.300000000000000000e+01 5.745351022594149745e-03 2.106321652332062325e-05
6.400000000000000000e+01 4.456737287441171237e-03 2.069254104945333523e-05
6.500000000000000000e+01 4.648220640303899961e-03 2.029318641860916028e-05
6.600000000000000000e+01 4.195871344351106112e-03 1.984495189881165783e-05
6.700000000000000000e+01 4.158976233599493040e-03 1.945353602669416658e-05
6.800000000000000000e+01 4.104757003251492502e-03 1.916018913245387236e-05
6.900000000000000000e+01 3.773747742682694896e-03 1.880762273401650510e-05
7.000000000000000000e+01 3.613752893278148089e-03 1.853695198806311459e-05
7.100000000000000000e+01 3.499195190557123983e-03 1.815497451402684704e-05
7.200000000000000000e+01 3.374075710244656308e-03 1.780607133190450323e-05
7.300000000000000000e+01 3.196178368182156677e-03 1.749801448561045234e-05
7.400000000000000000e+01 3.212126274523626531e-03 1.723236115661728085e-05
7.500000000000000000e+01 3.134265226929921263e-03 1.695770711346425891e-05
7.600000000000000000e+01 2.983344906424089185e-03 1.665928072136544193e-05
7.700000000000000000e+01 2.855621504482846150e-03 1.640263011919605168e-05
7.800000000000000000e+01 2.783296435779204162e-03 1.611307469444280663e-05
7.900000000000000000e+01 2.706441147733117374e-03 1.583237917057295411e-05
8.000000000000000000e+01 2.477528036453512626e-03 1.557867079335631866e-05
8.100000000000000000e+01 2.373784510025928485e-03 1.532522681051207958e-05
8.200000000000000000e+01 2.504991340018701378e-03 1.511300890468496006e-05
8.300000000000000000e+01 2.441773144880727154e-03 1.487217866363196185e-05
8.400000000000000000e+01 2.494905032363527609e-03 1.471670821287167292e-05
8.500000000000000000e+01 2.283802292271768560e-03 1.447470121848598733e-05
8.600000000000000000e+01 2.393042171794645089e-03 1.430149973573922914e-05
8.700000000000000000e+01 2.159931599135675017e-03 1.404818304560666515e-05
8.800000000000000000e+01 2.130670973326978784e-03 1.375282004187109633e-05
8.900000000000000000e+01 2.055789118626565309e-03 1.354426132617134605e-05
9.000000000000000000e+01 2.047391111012307821e-03 1.344019412982962289e-05
9.100000000000000000e+01 1.995381847678905432e-03 1.330423409304095355e-05
9.200000000000000000e+01 2.006485292180697731e-03 1.310281708343796894e-05
9.300000000000000000e+01 1.860340984889430468e-03 1.290736052097724331e-05
9.400000000000000000e+01 1.870184266015880977e-03 1.275527075846606177e-05
9.500000000000000000e+01 1.757663523107640992e-03 1.265624650382502944e-05
9.600000000000000000e+01 1.745860260996238630e-03 1.246245595624734422e-05
9.700000000000000000e+01 1.723384803993715034e-03 1.234533075848957336e-05
9.800000000000000000e+01 1.665684488712236870e-03 1.220313643923161845e-05
9.900000000000000000e+01 1.701543594642906118e-03 1.208635776704407433e-05
1.000000000000000000e+02 1.609066724600684934e-03 1.193528986403414429e-05
1.010000000000000000e+02 1.518291234884988367e-03 1.178701816620924510e-05
1.020000000000000000e+02 1.531554217093773372e-03 1.163355884697303322e-05
1.030000000000000000e+02 1.496789518526539303e-03 1.149676553524714537e-05
1.040000000000000000e+02 1.469982811585122126e-03 1.137505645426117451e-05
1.050000000000000000e+02 1.461655787814335541e-03 1.127331672723775318e-05
1.060000000000000000e+02 1.419581588265107254e-03 1.113312777293841565e-05
1.070000000000000000e+02 1.444124409704662963e-03 1.104183519447256675e-05
1.080000000000000000e+02 1.319257700083667799e-03 1.092202691329800091e-05
1.090000000000000000e+02 1.331775081832189131e-03 1.081998889056428477e-05
1.100000000000000000e+02 1.277302835196562208e-03 1.071995541338424951e-05
1.110000000000000000e+02 1.286997068027053836e-03 1.060289063436324443e-05
1.120000000000000000e+02 1.245120531460672730e-03 1.047399804054207620e-05
1.130000000000000000e+02 1.237085346342091038e-03 1.036651253101742390e-05
1.140000000000000000e+02 1.182031856157910029e-03 1.027155847262663430e-05
1.150000000000000000e+02 1.210865238325605549e-03 1.016728873351424783e-05
1.160000000000000000e+02 1.140456172874402489e-03 1.004043535616777475e-05
1.170000000000000000e+02 1.177885435256657365e-03 9.945329439956766967e-06
1.180000000000000000e+02 1.130093676226149712e-03 9.801299468510858118e-06
1.190000000000000000e+02 1.082569517523935187e-03 9.674757395582975328e-06
1.200000000000000000e+02 1.110548158886419693e-03 9.567724478236598284e-06
1.210000000000000000e+02 1.041826958414919947e-03 9.493193746704988047e-06
1.220000000000000000e+02 1.030781765872628266e-03 9.403474712518629388e-06
1.230000000000000000e+02 1.026152092168247871e-03 9.325466196827813449e-06
1.240000000000000000e+02 9.821779945333084481e-04 9.221381511582561183e-06
1.250000000000000000e+02 1.033920240496339227e-03 9.188067006555739294e-06
1.260000000000000000e+02 9.849860181156207435e-04 9.095522035987636166e-06
1.270000000000000000e+02 9.835636046615419889e-04 8.972775337876302688e-06
1.280000000000000000e+02 9.763694038907441350e-04 8.844777556137783364e-06
1.290000000000000000e+02 9.241739918126445213e-04 8.813780835232645479e-06
1.300000000000000000e+02 9.173137253650448346e-04 8.745158808857544000e-06
1.310000000000000000e+02 9.125254936432213200e-04 8.648302424263878889e-06
1.320000000000000000e+02 9.014231027177028793e-04 8.577386173407165304e-06
1.330000000000000000e+02 9.094434935732890243e-04 8.498582629229086650e-06
1.340000000000000000e+02 8.919994443579837675e-04 8.429386793531404732e-06
1.350000000000000000e+02 8.488040268058951636e-04 8.313848496838672388e-06
1.360000000000000000e+02 8.622512345783078097e-04 8.242103592560846501e-06
1.370000000000000000e+02 8.481222586974450665e-04 8.196140085216160063e-06
1.380000000000000000e+02 8.392933248042296979e-04 8.126720315433246075e-06
1.390000000000000000e+02 8.423897613210347803e-04 8.042725097083770682e-06
1.400000000000000000e+02 8.431143895162249982e-04 7.982328423090776607e-06
1.410000000000000000e+02 8.237810548433306072e-04 7.880648397942265388e-06
1.420000000000000000e+02 8.013671247650540688e-04 7.841795279177371619e-06
1.430000000000000000e+02 8.034969119935549001e-04 7.755647483558017149e-06
1.440000000000000000e+02 7.871726937108977987e-04 7.716239416026539832e-06
1.450000000000000000e+02 7.814526857370822149e-04 7.697795448438748476e-06
1.460000000000000000e+02 7.695405990290253660e-04 7.610010802414489636e-06
1.470000000000000000e+02 7.573659060298133187e-04 7.526165816084065184e-06
1.480000000000000000e+02 7.485582252250103791e-04 7.433317482395263839e-06
1.490000000000000000e+02 7.456835947253570920e-04 7.427940073829678572e-06
1.500000000000000000e+02 7.312668771309179753e-04 7.380087486366796181e-06
1.510000000000000000e+02 7.318583138340030003e-04 7.317758534696049521e-06
1.520000000000000000e+02 7.145983236619250518e-04 7.208166771810467942e-06
1.530000000000000000e+02 7.293013895877614814e-04 7.132736711382279724e-06
1.540000000000000000e+02 7.056801622814011868e-04 7.113079721207097172e-06
1.550000000000000000e+02 6.954166224167128126e-04 7.091493724725418806e-06
1.560000000000000000e+02 6.919230918728478666e-04 7.040365060276254142e-06
1.570000000000000000e+02 6.884912618573829505e-04 6.969297077761817841e-06
1.580000000000000000e+02 6.758916689971328348e-04 6.905990773542094224e-06
1.590000000000000000e+02 6.714656162573324864e-04 6.852532169143257145e-06
1.600000000000000000e+02 6.612438336487706184e-04 6.829277930588873584e-06
1.610000000000000000e+02 6.674214346493529326e-04 6.776025573924583389e-06
1.620000000000000000e+02 6.573419095185844500e-04 6.744743288516715819e-06
1.630000000000000000e+02 6.453402596798068439e-04 6.701980939588393926e-06
1.640000000000000000e+02 6.564495247295186551e-04 6.639358600090494538e-06
1.650000000000000000e+02 6.484556752578864288e-04 6.568994608821678758e-06
1.660000000000000000e+02 6.337882093048976704e-04 6.542056855433570216e-06
1.670000000000000000e+02 6.375902516613749524e-04 6.509302493713664352e-06
1.680000000000000000e+02 6.321165638659180996e-04 6.502201399476790475e-06
1.690000000000000000e+02 6.124062169762183689e-04 6.419448247660069165e-06
1.700000000000000000e+02 6.084120685524364207e-04 6.379955296429767098e-06
1.710000000000000000e+02 6.253970927238110267e-04 6.345613774071347340e-06
1.720000000000000000e+02 6.178106227656177162e-04 6.287269199591544626e-06
1.730000000000000000e+02 5.974500076414157330e-04 6.271100311964011528e-06
1.740000000000000000e+02 6.075354423312096137e-04 6.247366161981712947e-06
1.750000000000000000e+02 5.893110524056557930e-04 6.197228243740426015e-06
1.760000000000000000e+02 5.875124055844730114e-04 6.175548446247197435e-06
1.770000000000000000e+02 5.794221797354689226e-04 6.103245569559074662e-06
1.780000000000000000e+02 5.817139731638316155e-04 6.059936216596303860e-06
1.790000000000000000e+02 5.686636629148330126e-04 6.030723897477190722e-06
1.800000000000000000e+02 5.809365157253392744e-04 5.985693141279432495e-06
1.810000000000000000e+02 5.684841945690768472e-04 5.936746814630294199e-06
1.820000000000000000e+02 5.697776341952035580e-04 5.909433872350477418e-06
1.830000000000000000e+02 5.647973494846606326e-04 5.851980672173948616e-06
1.840000000000000000e+02 5.600091470467563745e-04 5.817379757336663126e-06
1.850000000000000000e+02 5.484195597004499090e-04 5.778638421275613051e-06
1.860000000000000000e+02 5.475705279680998395e-04 5.762144176689890138e-06
1.870000000000000000e+02 5.392573837559594277e-04 5.722648505496917111e-06
1.880000000000000000e+02 5.367678805815552165e-04 5.690287357150916868e-06
1.890000000000000000e+02 5.374540287751579642e-04 5.661133132746606401e-06
1.900000000000000000e+02 5.349427179756043732e-04 5.618567073911900605e-06
