# els cl_kk n0_tt n0_ee n0_te n0_tb n0_eb n0_mv n0_mvpol
0.000000000000000000e+00 0.000000000000000000e+00 nan nan nan nan nan nan nan
1.000000000000000000e+00 0.000000000000000000e+00 9.437054012662010059e-08 3.171422070896015060e-08 5.866592001745579891e-08 1.135099420459595508e-04 1.582933121773463279e-05 1.687883971293455904e-08 3.165080800397295014e-08
2.000000000000000000e+00 5.269503946800194147e-08 5.903138806351288513e-08 2.221577135562600701e-08 4.309818662821688079e-08 1.943863567947656662e-07 1.700819846779729751e-08 6.707105676328947007e-09 9.633146518128647152e-09
3.000000000000000000e+00 6.397068978703747887e-08 5.398918449966124852e-08 2.067016258817035243e-08 4.042140519162153248e-08 1.557639537269247135e-07 1.361679318818487873e-08 5.830930661816298672e-09 8.208991517507998825e-09
4.000000000000000000e+00 7.364267632810360767e-08 5.221305402954619310e-08 2.011252786713178602e-08 3.944642482667341598e-08 1.443924904664650849e-07 1.261451786440609827e-08 5.542539826812381381e-09 7.752298944411235953e-09
5.000000000000000000e+00 8.203135823070379969e-08 5.137476048548941228e-08 1.984696133600723977e-08 3.898145442997267381e-08 1.393482950775883201e-07 1.216819657000195260e-08 5.409461273021467566e-09 7.543355792989395534e-09
6.000000000000000000e+00 8.933791348121388742e-08 5.091339595117125170e-08 1.970051628720791837e-08 3.872598566412110964e-08 1.366365341545554929e-07 1.192752430871162954e-08 5.336688375032737744e-09 7.429432316466587225e-09
7.000000000000000000e+00 9.576289852191443412e-08 5.063449191549883510e-08 1.961231182496761364e-08 3.857345504130547580e-08 1.349989618235650202e-07 1.178197557902303026e-08 5.292539827647294721e-09 7.360312912870278394e-09
8.000000000000000000e+00 1.014460829264389247e-07 5.045506587031458256e-08 1.955622589196474843e-08 3.847801986393502479e-08 1.339285582983416195e-07 1.168688027024448092e-08 5.263828578161319247e-09 7.315254422868370562e-09
9.000000000000000000e+00 1.064977726421917786e-07 5.033487254809369807e-08 1.951946218298949662e-08 3.841716267961747867e-08 1.331864943935103622e-07 1.162117371047282728e-08 5.244223724001123431e-09 7.284342604293085676e-09
