# els cl_ilc_tt cl_ilc_ee
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+01 1.077575614419702399e+00 1.325598642909146102e-04
1.200000000000000000e+01 1.013759815580374424e+00 1.175220115483978080e-04
1.300000000000000000e+01 7.157861563115368586e-01 1.051911855262949050e-04
1.400000000000000000e+01 6.171597061040808851e-01 9.499158724568801664e-05
1.500000000000000000e+01 4.394199408343813507e-01 8.636696157360931761e-05
1.600000000000000000e+01 3.505806580204115508e-01 7.901794097272720602e-05
1.700000000000000000e+01 2.837772177585227706e-01 7.270871473774854186e-05
1.800000000000000000e+01 2.313089598198637964e-01 6.721088768417960943e-05
1.900000000000000000e+01 1.881582016313085859e-01 6.241402243401601886e-05
2.000000000000000000e+01 1.867841318827656860e-01 5.818738675281917301e-05
2.100000000000000000e+01 1.396309020244575760e-01 5.444233104724157226e-05
2.200000000000000000e+01 1.430921668786358236e-01 5.109711303693076318e-05
2.300000000000000000e+01 1.202382505766126375e-01 4.810029435767543829e-05
2.400000000000000000e+01 1.069635291340322591e-01 4.539275664371938816e-05
2.500000000000000000e+01 1.003101949507736596e-01 4.293901140104204015e-05
2.600000000000000000e+01 8.448746374004405257e-02 4.071928245671601709e-05
2.700000000000000000e+01 7.899706235556808176e-02 3.869339112003030806e-05
2.800000000000000000e+01 7.194348146770920827e-02 3.683981264722715717e-05
2.900000000000000000e+01 6.422104126028868598e-02 3.514210263529771145e-05
3.000000000000000000e+01 5.544838057782193463e-02 3.356417149961673282e-05
3.100000000000000000e+01 5.139412986821131207e-02 3.212055599256774502e-05
3.200000000000000000e+01 4.484756455759154187e-02 3.078662097364454791e-05
3.300000000000000000e+01 3.991159768184451839e-02 2.954453967704460352e-05
3.400000000000000000e+01 3.610582536548027216e-02 2.839138505221371251e-05
3.500000000000000000e+01 3.212690464151514436e-02 2.731142816178064751e-05
3.600000000000000000e+01 3.052765987854428459e-02 2.630824742619875103e-05
3.700000000000000000e+01 2.848940771142622827e-02 2.536983880356289068e-05
3.800000000000000000e+01 2.514002663404546478e-02 2.448163049991326345e-05
3.900000000000000000e+01 2.520337491808192706e-02 2.365584748784134824e-05
4.000000000000000000e+01 2.194461789283915984e-02 2.287410362841430596e-05
4.100000000000000000e+01 2.193892093574878119e-02 2.213655707718813025e-05
4.200000000000000000e+01 1.912443580043132058e-02 2.144071995782668451e-05
4.300000000000000000e+01 1.862766550202969371e-02 2.079549900906046576e-05
4.400000000000000000e+01 1.733300927579257619e-02 2.017796781930558664e-05
4.500000000000000000e+01 1.582512209482157470e-02 1.959636252128659699e-05
4.600000000000000000e+01 1.467748753445139234e-02 1.903858215946226855e-05
4.700000000000000000e+01 1.384748911518736414e-02 1.850839651139591787e-05
4.800000000000000000e+01 1.219273617902817165e-02 1.800276347013942213e-05
4.900000000000000000e+01 1.219521096052338452e-02 1.752218011202509292e-05
5.000000000000000000e+01 1.041936591098127814e-02 1.706717483125946621e-05
5.100000000000000000e+01 1.052870642840167056e-02 1.664289486463393591e-05
5.200000000000000000e+01 9.580741586269515830e-03 1.622810123521334561e-05
5.300000000000000000e+01 9.489120800040362277e-03 1.583599480367617917e-05
5.400000000000000000e+01 8.768780903793432779e-03 1.545338132436225285e-05
5.500000000000000000e+01 8.500879781312861011e-03 1.508881145819382328e-05
5.600000000000000000e+01 8.084336125912366597e-03 1.474510642451120395e-05
5.700000000000000000e+01 7.535304226795365955e-03 1.441428460385920179e-05
5.800000000000000000e+01 7.345887027087458741e-03 1.409853303566650171e-05
5.900000000000000000e+01 6.808077914852445588e-03 1.379603850142314074e-05
6.000000000000000000e+01 6.592810742578942076e-03 1.349772575709243385e-05
6.100000000000000000e+01 6.261380873586815284e-03 1.321615883788304229e-05
6.200000000000000000e+01 5.885597439181468327e-03 1.294699090890634170e-05
6.300000000000000000e+01 5.698199842932997854e-03 1.268518125535065003e-05
6.400000000000000000e+01 5.383758882611494080e-03 1.242313980209068999e-05
6.500000000000000000e+01 5.093850950637085137e-03 1.218436224090399930e-05
6.600000000000000000e+01 4.968090288559215244e-03 1.194945979391842073e-05
6.700000000000000000e+01 4.606540462000563788e-03 1.172722499788245848e-05
6.800000000000000000e+01 4.577628222094448987e-03 1.151754702849449802e-05
6.900000000000000000e+01 4.203539869087970053e-03 1.130723381500512485e-05
7.000000000000000000e+01 4.203130100662888849e-03 1.110593996421224736e-05
7.100000000000000000e+01 3.883384499281467006e-03 1.090956320990360074e-05
7.200000000000000000e+01 3.836270508820638532e-03 1.071242438044740455e-05
7.300000000000000000e+01 3.642748987069496791e-03 1.052979691546902617e-05
7.400000000000000000e+01 3.516013403534265155e-03 1.035249324468021747e-05
7.500000000000000000e+01 3.429895753230150206e-03 1.017969716185829287e-05
7.600000000000000000e+01 3.281826512522972254e-03 1.001368908999759990e-05
7.700000000000000000e+01 3.189173053676091357e-03 9.848681804336465093e-06
7.800000000000000000e+01 3.087454044203329258e-03 9.697384557702681902e-06
7.900000000000000000e+01 2.938791164020126967e-03 9.542223548559422238e-06
8.000000000000000000e+01 2.906166974669049854e-03 9.396783740837758215e-06
8.100000000000000000e+01 2.738092285771822568e-03 9.247360493902378415e-06
8.200000000000000000e+01 2.724219225352353477e-03 9.112411632099474748e-06
8.300000000000000000e+01 2.593151396422956230e-03 8.978327430678383449e-06
8.400000000000000000e+01 2.538750334730713407e-03 8.852552058089674641e-06
8.500000000000000000e+01 2.458330445316679255e-03 8.721489871131140660e-06
8.600000000000000000e+01 2.369244098827048492e-03 8.599053565299499393e-06
8.700000000000000000e+01 2.332518587353899896e-03 8.471071641608572024e-06
8.800000000000000000e+01 2.228731730528071050e-03 8.350194715351870722e-06
8.900000000000000000e+01 2.169797698179917311e-03 8.237593797925723966e-06
9.000000000000000000e+01 2.106480946844389336e-03 8.133649709362360001e-06
9.100000000000000000e+01 2.028049933725589987e-03 8.026712680820685135e-06
9.200000000000000000e+01 1.998161115324794887e-03 7.923454440934303957e-06
9.300000000000000000e+01 1.918773167059844393e-03 7.814381540039774595e-06
9.400000000000000000e+01 1.890720743472671696e-03 7.717379861753521895e-06
9.500000000000000000e+01 1.834767625302851334e-03 7.617206038256156932e-06
9.600000000000000000e+01 1.784105082809511224e-03 7.526386177107429818e-06
9.700000000000000000e+01 1.754361655429009749e-03 7.428983616797939986e-06
9.800000000000000000e+01 1.699604729687748334e-03 7.333193724909328030e-06
9.900000000000000000e+01 1.665668788844159622e-03 7.240185634845359979e-06
1.000000000000000000e+02 1.621488659675317549e-03 7.152343731271083189e-06
1.010000000000000000e+02 1.588411208617845080e-03 7.065866405151939476e-06
1.020000000000000000e+02 1.547911954084118472e-03 6.982695282257856850e-06
1.030000000000000000e+02 1.512232205276113238e-03 6.903107711026607574e-06
1.040000000000000000e+02 1.484880459644587203e-03 6.825648984272269581e-06
1.050000000000000000e+02 1.439018395928510705e-03 6.750478960573424272e-06
1.060000000000000000e+02 1.422970230462602525e-03 6.672987102539106304e-06
1.070000000000000000e+02 1.377775636814582106e-03 6.597319467786571653e-06
1.080000000000000000e+02 1.357355471718645241e-03 6.527251112344899815e-06
1.090000000000000000e+02 1.333489145792039884e-03 6.458446997031828095e-06
1.100000000000000000e+02 1.295792974994557567e-03 6.380136564310837571e-06
1.110000000000000000e+02 1.284451380475023271e-03 6.312212699808259913e-06
1.120000000000000000e+02 1.245430449921407267e-03 6.243194973643358028e-06
1.130000000000000000e+02 1.224577953631118647e-03 6.176018512340512386e-06
1.140000000000000000e+02 1.203147110815984758e-03 6.113175852413034698e-06
1.150000000000000000e+02 1.176561789635674569e-03 6.051555767209552520e-06
1.160000000000000000e+02 1.161726078763571264e-03 5.989945129132809411e-06
1.170000000000000000e+02 1.137838885932040576e-03 5.929358057347054105e-06
1.180000000000000000e+02 1.115525904978821939e-03 5.873610147780208442e-06
1.190000000000000000e+02 1.101041184286423447e-03 5.810424222456058078e-06
1.200000000000000000e+02 1.074739720902490600e-03 5.755129408607900427e-06
1.210000000000000000e+02 1.065413154924293743e-03 5.699880659890388843e-06
1.220000000000000000e+02 1.042748031482536222e-03 5.643007955841071705e-06
1.230000000000000000e+02 1.033628983140044613e-03 5.595092038961341033e-06
1.240000000000000000e+02 1.015076792732692596e-03 5.541241479504246123e-06
1.250000000000000000e+02 9.994697200502657315e-04 5.489367634796378285e-06
1.260000000000000000e+02 9.849529326127366962e-04 5.436529479631158402e-06
1.270000000000000000e+02 9.680530719462961120e-04 5.377739939033937562e-06
1.280000000000000000e+02 9.552622585109669896e-04 5.329593030450037175e-06
1.290000000000000000e+02 9.409349483131449572e-04 5.284346192786468627e-06
1.300000000000000000e+02 9.260329918291957318e-04 5.239608708064842513e-06
1.310000000000000000e+02 9.147110585441522914e-04 5.193441827143249695e-06
1.320000000000000000e+02 8.954599366602747660e-04 5.151215171702698525e-06
1.330000000000000000e+02 8.925539922655439593e-04 5.104875155529490257e-06
1.340000000000000000e+02 8.746473351094177437e-04 5.062400324392014391e-06
1.350000000000000000e+02 8.680512863209521911e-04 5.013478461856905169e-06
1.360000000000000000e+02 8.525298974273041097e-04 4.970728677587518418e-06
1.370000000000000000e+02 8.418657304512286010e-04 4.926084074360613879e-06
1.380000000000000000e+02 8.311865723806228590e-04 4.886177212527808081e-06
1.390000000000000000e+02 8.203583266650531702e-04 4.838957055757440927e-06
1.400000000000000000e+02 8.094925324588003387e-04 4.802566092014723771e-06
1.410000000000000000e+02 8.030501792726370226e-04 4.761767586555911780e-06
1.420000000000000000e+02 7.899328420507299503e-04 4.733866117710658439e-06
1.430000000000000000e+02 7.832033917334217448e-04 4.688677644498475823e-06
1.440000000000000000e+02 7.741833547052804580e-04 4.655514124756959179e-06
1.450000000000000000e+02 7.661348644792223854e-04 4.620810029414941683e-06
1.460000000000000000e+02 7.557798244935599484e-04 4.582290893967478540e-06
1.470000000000000000e+02 7.489889817981547305e-04 4.541318813649974536e-06
1.480000000000000000e+02 7.398079760558754327e-04 4.516760997632630668e-06
1.490000000000000000e+02 7.300136971891921797e-04 4.477715259863731253e-06
1.500000000000000000e+02 7.239171967412605727e-04 4.438907486219707874e-06
1.510000000000000000e+02 7.125265326697483720e-04 4.407655194327206339e-06
1.520000000000000000e+02 7.095897859130933377e-04 4.367633096046373468e-06
1.530000000000000000e+02 6.990146758139557676e-04 4.338224602017092611e-06
1.540000000000000000e+02 6.939564429126303131e-04 4.308135538328128119e-06
1.550000000000000000e+02 6.884896796574529586e-04 4.276901889330849427e-06
1.560000000000000000e+02 6.808124654477128558e-04 4.244595345970833098e-06
1.570000000000000000e+02 6.754116347670683371e-04 4.214063410821724514e-06
1.580000000000000000e+02 6.664870609108165421e-04 4.181929519515207547e-06
1.590000000000000000e+02 6.597422031845042150e-04 4.152134309848421517e-06
1.600000000000000000e+02 6.541272937291202436e-04 4.116855597230536212e-06
1.610000000000000000e+02 6.453928725596863461e-04 4.082033972106599137e-06
1.620000000000000000e+02 6.421327260288835085e-04 4.052229332745212839e-06
1.630000000000000000e+02 6.336721963065311981e-04 4.027580599093763814e-06
1.640000000000000000e+02 6.314460880924238975e-04 3.997946654678315334e-06
1.650000000000000000e+02 6.242985804234999717e-04 3.975791979747776707e-06
1.660000000000000000e+02 6.180519472714328388e-04 3.947939905893580954e-06
1.670000000000000000e+02 6.150203621853703216e-04 3.919315937021162699e-06
1.680000000000000000e+02 6.082981580338013864e-04 3.900367665346702316e-06
1.690000000000000000e+02 6.044027602910870094e-04 3.874907305296539119e-06
1.700000000000000000e+02 5.988489555858233842e-04 3.845767810433223897e-06
1.710000000000000000e+02 5.942716922005819580e-04 3.825967149001340464e-06
1.720000000000000000e+02 5.896967100697027026e-04 3.793427989881297719e-06
1.730000000000000000e+02 5.829431797750847305e-04 3.772255041148748450e-06
1.740000000000000000e+02 5.793060237341079131e-04 3.744934300715178549e-06
1.750000000000000000e+02 5.737651659372774342e-04 3.722368392483629386e-06
1.760000000000000000e+02 5.695430925312160251e-04 3.703353472280756032e-06
1.770000000000000000e+02 5.645032873615844510e-04 3.676060033573439205e-06
1.780000000000000000e+02 5.600366089052576796e-04 3.657121438181197866e-06
1.790000000000000000e+02 5.566704176511027159e-04 3.636141620165151097e-06
1.800000000000000000e+02 5.511926290556837813e-04 3.614294683542268105e-06
1.810000000000000000e+02 5.478565691227540177e-04 3.588393314870427485e-06
1.820000000000000000e+02 5.439940574519172567e-04 3.570128245728097021e-06
1.830000000000000000e+02 5.403965243884394174e-04 3.545949975770887147e-06
1.840000000000000000e+02 5.365524660815118542e-04 3.517037831731606146e-06
1.850000000000000000e+02 5.313259965260281725e-04 3.501057265564174887e-06
1.860000000000000000e+02 5.295530673297917969e-04 3.480143790150392993e-06
1.870000000000000000e+02 5.256676527641507366e-04 3.456705325945343002e-06
1.880000000000000000e+02 5.224350991943997862e-04 3.433499899235838945e-06
1.890000000000000000e+02 5.175588830233691538e-04 3.406854703781190168e-06
1.900000000000000000e+02 5.143008348879654894e-04 3.391874403397923461e-06
